the bathroom is good for reading, 0, false, 1
the bathroom is good for reading, 1, false, 1
244388.539134208, 244389.004670333, 25.1125011444092, 4.0
the bathroom is good for reading, 26, false, 1
244395.073106, 244395.688404125, 21.3999996185303, 4.0
244396.472925375, 244396.571738917, -5.0, 4.0
244396.672846958, 244396.756185958, -5.0, 4.0
244396.856331958, 244396.939716375, -5.0, 4.0
244397.756458917, 244398.288485125, 9.19000053405762, 4.0
244398.856469, 244398.938425583, -5.0, 4.0
244399.422919667, 244399.756563292, 5.06500053405762, 4.0
244400.456500708, 244400.523228792, -5.0, 4.0
244400.639885708, 244400.723114792, -5.0, 4.0
244400.823112917, 244400.890068083, -5.0, 4.0
244400.9730295, 244401.055425625, -5.0, 4.0
244401.773343833, 244401.940034333, 0.197499752044678, 4.0
244403.006777417, 244403.356516958, 3.25, 4.0
244403.906784792, 244403.988744417, -5.0, 4.0
244404.106981625, 244404.188754708, -5.0, 4.0
244404.273642042, 244404.355714708, -5.0, 4.0
244405.14020525, 244405.306926, 1.43499994277954, 4.0
244405.806897, 244405.872237042, -5.0, 4.0
244406.706772583, 244407.755616042, 18.1000003814697, 4.0
244408.223770375, 244408.322373417, -5.0, 4.0
244408.490545375, 244408.589229542, -5.0, 4.0
244408.69042925, 244408.773726083, -5.0, 4.0
244408.873909083, 244408.905840333, -5.0, 4.0
244409.82383475, 244409.990325, -5.0, 4.0
244411.190531333, 244411.457196583, 2.09500026702881, 4.0
244413.474144917, 244413.523939625, 100.0, 1.0
the bathroom is good for reading, 19, false, 1
244415.973002375, 244417.106220125, 21.0700016021729, 4.0
244417.991054542, 244418.074367917, -5.0, 4.0
244418.191071125, 244418.274301292, -5.0, 4.0
244418.391220833, 244418.456439083, -5.0, 4.0
244419.54124425, 244420.073408583, 9.19000053405762, 4.0
244420.607779167, 244420.691090458, -5.0, 4.0
244421.324601167, 244421.673280792, 7.29250049591064, 4.0
244422.357983667, 244422.456780167, -5.0, 4.0
244422.558010917, 244422.640202208, -5.0, 4.0
244422.724757333, 244422.791539708, -5.0, 4.0
244422.891423833, 244422.973447625, -5.0, 4.0
244423.058149042, 244423.156862583, -5.0, 4.0
244423.974768375, 244424.176211958, 2.09500026702881, 4.0
244425.508243625, 244425.859713833, 3.08500003814697, 4.0
244426.474868, 244426.558201083, -5.0, 4.0
244426.658192625, 244426.756990167, -5.0, 4.0
244427.241746542, 244427.474975125, 2.01250028610229, 4.0
244428.058322333, 244428.123788958, -5.0, 4.0
244428.925168917, 244429.774092583, 22.0599994659424, 4.0
the bathroom is good for reading, 97, false, 1
244446.376252917, 244447.008345292, 20.0799999237061, 4.0
244447.82636975, 244447.892934042, -5.0, 4.0
244448.393309, 244448.891863083, 10.0150003433228, 4.0
244449.609897458, 244449.693078417, -5.0, 4.0
244449.826615333, 244449.893046875, -5.0, 4.0
244450.060142542, 244450.143056333, -5.0, 4.0
244450.993250042, 244451.409767667, 3.25, 4.0
244451.976563417, 244452.108584708, -5.0, 4.0
244452.209915875, 244452.292070167, -5.0, 4.0
244452.393693458, 244452.458696167, -5.0, 4.0
244452.543443375, 244452.625465208, -5.0, 4.0
244452.743293917, 244452.842239125, -5.0, 4.0
244453.660032583, 244453.810044125, 0.362499713897705, 4.0
244454.643403917, 244454.97674525, 2.09500026702881, 4.0
244455.460031417, 244455.575537375, -5.0, 4.0
244455.660517208, 244455.742193417, -5.0, 4.0
244456.326833375, 244456.493684167, 0.445000171661377, 4.0
244457.026876833, 244457.092279083, -5.0, 4.0
244457.726967, 244458.642530083, 19.0900001525879, 4.0
244459.226960333, 244459.342405667, -5.0, 4.0
244459.877198083, 244460.410434375, 9.19000053405762, 4.0
244460.927105167, 244461.02591925, -5.0, 4.0
244461.877245458, 244462.659598958, 19.0075016021729, 4.0
244463.177163833, 244463.2926145, -5.0, 4.0
244463.377449292, 244463.476052833, -5.0, 4.0
244463.877419208, 244464.34275025, 17.1100006103516, 4.0
244465.010761375, 244465.07616175, -5.0, 4.0
244465.19417625, 244465.277399708, -5.0, 4.0
244465.377620542, 244465.459626167, -5.0, 4.0
244465.5440615, 244465.6261835, -5.0, 4.0
244466.244202417, 244466.693092125, 15.1300010681152, 4.0
244467.66126125, 244468.193159583, 14.0574989318848, 4.0
244468.944214375, 244469.044287458, -5.0, 4.0
244469.17787325, 244469.243206458, -5.0, 4.0
244469.411024667, 244469.511016042, -5.0, 4.0
244470.111222292, 244470.294690625, 1.1875, 4.0
244471.077806042, 244471.594759542, 8.03500080108643, 4.0
244472.528020292, 244473.427879625, 17.3575000762939, 4.0
244473.994653333, 244474.076928833, -5.0, 4.0
244474.194763292, 244474.294571, -5.0, 4.0
244474.844589333, 244475.061430625, 1.26999998092651, 4.0
244476.061465583, 244476.493785375, 9.27250003814697, 4.0
244477.194815458, 244477.294758042, -5.0, 4.0
244477.428332417, 244477.494787083, -5.0, 4.0
244477.661692042, 244477.727002417, -5.0, 4.0
244478.228388292, 244478.727173042, 14.2224998474121, 4.0
244479.395092542, 244479.493907833, -5.0, 4.0
244479.645032042, 244479.711666583, -5.0, 4.0
244480.0951115, 244480.894043417, 15.0475006103516, 4.0
244481.911982917, 244482.477088458, 4.15750026702881, 4.0
244483.111966292, 244483.227380958, -5.0, 4.0
244483.362417292, 244483.443950042, -5.0, 4.0
244483.562554333, 244483.677310333, -5.0, 4.0
244483.84527275, 244483.927501042, -5.0, 4.0
244484.645452042, 244484.845401583, 1.10500001907349, 4.0
244485.82879675, 244486.312182125, 5.3125, 4.0
244486.995453958, 244487.112165833, -5.0, 4.0
244487.212243667, 244487.294411458, -5.0, 4.0
244487.395683083, 244487.477584167, -5.0, 4.0
244487.5622615, 244487.645621792, -5.0, 4.0
244487.829031167, 244487.911036875, -5.0, 4.0
244488.379028583, 244489.177856292, 13.0675010681152, 4.0
244489.695678167, 244489.79572075, -5.0, 4.0
244489.912532875, 244490.011172458, -5.0, 4.0
244490.095867625, 244490.177787625, -5.0, 4.0
244490.328957833, 244490.427877125, -5.0, 4.0
244490.545896667, 244490.627859125, -5.0, 4.0
244491.329193667, 244492.144651958, 18.1000003814697, 4.0
244493.562664375, 244493.762570208, 0.197499752044678, 4.0
244494.779487042, 244495.778405667, 17.0275001525879, 4.0
244496.396032208, 244496.479585625, -5.0, 4.0
244496.962954625, 244497.3128915, 5.14750003814697, 4.0
244498.079443667, 244498.194929042, -5.0, 4.0
244498.296151292, 244498.378449875, -5.0, 4.0
244498.496563875, 244498.54625475, -5.0, 4.0
244499.412985042, 244499.729676292, 2.34249973297119, 4.0
244502.779993708, 244502.996632292, 1.02250003814697, 4.0
244504.513141167, 244506.746670208, 100.0, 1.0
244507.68011225, 244507.797088042, 100.0, 1.0
244508.580041375, 244508.947030292, 2.34249973297119, 4.0
244509.663737625, 244509.76375875, -5.0, 4.0
244510.814185792, 244511.197178333, 2.25999975204468, 4.0
244511.863877917, 244511.962579583, -5.0, 4.0
244512.08089075, 244512.179181583, -5.0, 4.0
244512.263980917, 244512.347304958, -5.0, 4.0
244512.48032575, 244512.547173625, -5.0, 4.0
244513.364009167, 244513.9126645, 9.27250003814697, 4.0
244514.864062042, 244515.346263708, 19.3374996185303, 4.0
244516.497438833, 244516.9642175, 100.0, 1.0
244517.630780292, 244518.329725583, 12.2424983978271, 4.0
244518.8808775, 244518.980807083, -5.0, 4.0
244519.097751583, 244519.179640208, -5.0, 4.0
244519.281147583, 244519.363091583, -5.0, 4.0
244519.464419667, 244519.546308458, -5.0, 4.0
244520.147724083, 244520.630999958, 7.29250049591064, 4.0
244521.297792292, 244521.396489458, -5.0, 4.0
244521.514915125, 244521.613203833, -5.0, 4.0
this leather jacket is too warm, 87, false, 2
244524.881503875, 244525.730322333, 20.4924983978271, 4.0
244526.331440958, 244526.431397958, -5.0, 4.0
244526.831652958, 244527.181493625, 9.02500057220459, 4.0
244527.69809125, 244527.796858167, -5.0, 4.0
244528.18165825, 244528.58063475, 8.03500080108643, 4.0
244529.415096417, 244530.197339958, 18.1000003814697, 4.0
244530.698304625, 244530.781606917, -5.0, 4.0
244531.481951625, 244531.683239375, 3.00250053405762, 4.0
244533.032078208, 244533.847563917, 4.15750026702881, 4.0
244534.381842667, 244534.464034417, -5.0, 4.0
244534.582189, 244534.664139083, -5.0, 4.0
244534.865335542, 244534.931947833, -5.0, 4.0
244535.065224208, 244535.147455333, -5.0, 4.0
244535.248607417, 244535.332192125, -5.0, 4.0
244536.082210417, 244536.13201825, 100.0, 1.0
244536.865441083, 244537.547629083, 12.2424983978271, 4.0
244538.182290625, 244538.265460083, -5.0, 4.0
244539.2824105, 244539.732401292, 4.23999977111816, 4.0
244540.301545042, 244540.3644515, -5.0, 4.0
244540.482399667, 244540.564515833, -5.0, 4.0
244540.665811667, 244540.7482335, -5.0, 4.0
244540.849005208, 244540.931155958, -5.0, 4.0
244541.082486667, 244541.216975083, -5.0, 4.0
244541.632611292, 244541.882536708, 3.16750049591064, 4.0
244542.349026375, 244542.447795625, -5.0, 4.0
244543.082693583, 244544.031538417, 19.2550010681152, 4.0
244544.932669625, 244545.382765875, 8.11750030517578, 4.0
244545.8660855, 244545.949277708, -5.0, 4.0
244546.766219583, 244547.299544333, 5.23000049591064, 4.0
244547.916189875, 244548.031550958, -5.0, 4.0
244548.132875583, 244548.214929875, -5.0, 4.0
244548.332854667, 244548.415006417, -5.0, 4.0
244549.149727042, 244550.415125958, 16.4499988555908, 4.0
244551.016413625, 244551.09846275, -5.0, 4.0
244551.199995542, 244551.299739125, -5.0, 4.0
244552.099938958, 244552.283232625, 2.09500026702881, 4.0
244553.366549875, 244553.799694125, 10.0150003433228, 4.0
244554.3165775, 244554.398640333, -5.0, 4.0
244554.800149833, 244555.033594833, 1.1875, 4.0
244555.5832885, 244555.649890333, -5.0, 4.0
244556.46687875, 244556.798797625, 4.15750026702881, 4.0
244557.416831667, 244557.515562417, -5.0, 4.0
244557.633957458, 244557.732187625, -5.0, 4.0
244557.850256458, 244557.9335595, -5.0, 4.0
244558.783699542, 244559.565815792, 9.02500057220459, 4.0
244560.250355625, 244560.349214667, -5.0, 4.0
244560.483987417, 244560.550294042, -5.0, 4.0
244560.667088792, 244560.749108542, -5.0, 4.0
244560.867093208, 244560.949193125, -5.0, 4.0
244561.767201875, 244562.282452292, 3.00250053405762, 4.0
244562.834874958, 244562.950452208, -5.0, 4.0
244563.067203583, 244563.149161125, -5.0, 4.0
244563.283951417, 244563.382696167, -5.0, 4.0
244563.550520708, 244563.599332167, -5.0, 4.0
244563.717446958, 244563.799133083, -5.0, 4.0
244564.3838965, 244565.316247083, 20.3274993896484, 4.0
244565.817326375, 244565.899369958, -5.0, 4.0
244566.517520333, 244568.067664875, 2.01250028610229, 4.0
244569.168102417, 244570.149767, 9.02500057220459, 4.0
244571.251155125, 244572.066552875, 17.1100006103516, 4.0
244572.667694292, 244572.76651625, -5.0, 4.0
244572.867854875, 244572.966509625, -5.0, 4.0
244573.068022042, 244573.151089333, -5.0, 4.0
244574.58483075, 244574.751505417, 1.26999998092651, 4.0
244575.918053917, 244576.800283375, 20.0799999237061, 4.0
244577.434838292, 244577.518005042, -5.0, 4.0
244577.935117042, 244578.566995708, 14.1399993896484, 4.0
244579.018132875, 244579.116915375, -5.0, 4.0
244579.235381292, 244579.333672042, -5.0, 4.0
244579.868483917, 244580.617280375, 15.1300010681152, 4.0
244581.951802333, 244582.118574167, 1.02250003814697, 4.0
244583.118604958, 244583.984085958, 22.0599994659424, 4.0
244584.835563458, 244585.052036833, 3.00250053405762, 4.0
244585.585375375, 244585.685340083, -5.0, 4.0
244586.185748125, 244587.018763833, 19.1725006103516, 4.0
244587.785646708, 244587.884304625, -5.0, 4.0
244588.035854708, 244588.134222542, -5.0, 4.0
244588.402096792, 244588.485485583, -5.0, 4.0
244589.268971583, 244589.884356292, 13.0675010681152, 4.0
244590.468989042, 244590.634535708, -5.0, 4.0
244591.719143708, 244592.335727375, 100.0, 1.0
244592.943591417, 244592.943591417, 100.0, -1.0
244591.452294833, 244593.2349405, -5.0, 4.0
244593.7359415, 244594.718207958, 17.3575000762939, 4.0
244595.58623225, 244596.151385083, 12.2424983978271, 4.0
244596.652652875, 244596.768081875, -5.0, 4.0
244596.869359292, 244596.968181583, -5.0, 4.0
players must know all the rules, 101, false, 3
244599.036646583, 244599.735123875, 17.2749996185303, 4.0
244600.519670083, 244600.636202792, -5.0, 4.0
244600.919628917, 244601.00297225, -5.0, 4.0
244601.119858542, 244601.186402333, -5.0, 4.0
244601.719751208, 244602.219733792, 11.1700000762939, 4.0
244602.719769542, 244602.818594417, -5.0, 4.0
244602.952848625, 244603.035007875, -5.0, 4.0
244603.136129333, 244603.218337042, -5.0, 4.0
244603.836928583, 244604.053430417, 2.01250028610229, 4.0
244604.636686583, 244604.73526325, -5.0, 4.0
244605.436811792, 244606.602089208, 24.1224994659424, 4.0
