questioning the wisdom of the courts, 0, false, 1
questioning the wisdom of the courts, 148, false, 1
300352.866016625, 300354.114995417, 19.0075016021729, 4.0
300354.69936475, 300354.79811075, -5.0, 4.0
300354.882766042, 300354.981443458, -5.0, 4.0
300355.066652542, 300355.14819625, -5.0, 4.0
300355.365891833, 300355.466068708, -5.0, 4.0
300356.416194125, 300359.966648417, 19.5850009918213, 4.0
300360.516628458, 300360.59857175, -5.0, 4.0
300360.699918292, 300360.781777167, -5.0, 4.0
300361.316685, 300361.883195417, 4.15750026702881, 4.0
300362.633183292, 300362.731986042, -5.0, 4.0
300362.81686775, 300362.898646125, -5.0, 4.0
300363.000046583, 300363.081965167, -5.0, 4.0
300363.183269667, 300363.281905333, -5.0, 4.0
300363.833385833, 300366.182187792, 17.0275001525879, 4.0
300366.966813083, 300367.065547542, -5.0, 4.0
300367.167000083, 300367.248897083, -5.0, 4.0
300367.316932292, 300367.398988792, -5.0, 4.0
300367.900362875, 300370.199200167, 17.0275001525879, 4.0
300371.016979417, 300371.132554375, -5.0, 4.0
300371.25052225, 300371.36699775, 100.0, 1.0
300371.200708917, 300372.015820417, -5.0, 4.0
300372.850486083, 300375.800861542, 17.1100006103516, 4.0
300376.384097917, 300376.482815583, -5.0, 4.0
300376.56763975, 300376.666260458, -5.0, 4.0
300376.751121375, 300376.832981875, -5.0, 4.0
300376.9173465, 300377.016186667, -5.0, 4.0
300377.250873542, 300377.350849958, -5.0, 4.0
300378.667729083, 300379.566510708, 7.04500007629395, 4.0
300380.101063375, 300380.199837583, -5.0, 4.0
300380.301118167, 300380.383127625, -5.0, 4.0
300380.467980583, 300380.551263792, -5.0, 4.0
300380.6343, 300380.733210708, -5.0, 4.0
300380.868024917, 300380.9665295, -5.0, 4.0
300381.484821542, 300382.350017875, 13.0675010681152, 4.0
300382.867891958, 300382.949959333, -5.0, 4.0
300383.03482425, 300383.116703208, -5.0, 4.0
300383.201530708, 300383.283394833, -5.0, 4.0
300383.367756708, 300383.418028208, -5.0, 4.0
300383.901655833, 300386.36729275, 13.1499996185303, 4.0
300386.88477675, 300386.966891667, -5.0, 4.0
300387.684997, 300388.501724333, 7.04500007629395, 4.0
300389.018182958, 300389.117058792, -5.0, 4.0
300389.201829083, 300389.283585458, -5.0, 4.0
300389.368417, 300389.435031, -5.0, 4.0
300389.534971958, 300389.601824625, -5.0, 4.0
300389.751976458, 300389.835156792, -5.0, 4.0
300390.352192875, 300391.367307208, 12.0774993896484, 4.0
300391.935163708, 300392.067273667, -5.0, 4.0
300392.151887625, 300392.25058075, -5.0, 4.0
300392.335510542, 300392.400588542, -5.0, 4.0
300392.601796167, 300392.68394925, -5.0, 4.0
300393.085328333, 300393.735243333, 8.03500080108643, 4.0
300394.268558667, 300394.367358375, -5.0, 4.0
300395.600762917, 300395.88409325, -5.0, 4.0
300396.752148083, 300396.985468708, 3.00250053405762, 4.0
300398.7523545, 300401.367928083, 20.1625003814697, 4.0
