england, 7, false, 0
18421.3431919167, 18421.6093757083, 3.08500003814697, 4.0
18422.0097005417, 18422.5766900833, 13.1499996185303, 4.0
18422.943142625, 18424.8765562083, 11.0050010681152, 4.0
18425.1933390417, 18425.5602022917, 10.3450002670288, 4.0
18425.7933574167, 18425.9600851667, 3.25, 4.0
18426.1764846667, 18427.1101715833, 15.0475006103516, 4.0
18427.4769555417, 18427.7436535833, 3.33249950408936, 4.0
defeated, 8, false, 0
18431.2268268333, 18431.4105105, 4.56999969482422, 3.0
18431.5937856667, 18431.8270610833, 4.32250022888184, 3.0
18432.010484625, 18432.2436719167, 6.38500022888184, 3.0
18432.4770001667, 18432.9940194167, 4.15750026702881, 3.0
18433.2436379167, 18433.460368625, -0.710000038146973, 3.0
18433.8770825, 18434.8440429583, 19.1725006103516, 3.0
18435.177124875, 18435.5108017917, 4.40499973297119, 3.0
18435.9275238333, 18436.2108575833, 5.47749996185303, 3.0
bfg, 0, false, 0
bfg, 75, false, 0
18981.863178375, 18988.2638784167, 20.0799999237061, 4.0
18989.9137317083, 18993.2306556667, 25.4425010681152, 4.0
18996.0638439583, 18999.4309313333, 33.0, 1.0
18996.0638439583, 19000.8810469583, 33.0, 1.0
19008.9814598333, 19010.0316112083, 2.01250028610229, 4.0
19012.1483345417, 19022.6493915, 33.0, 1.0
19012.1483345417, 19025.149484125, 4.07499980926514, 4.0
19027.4827842083, 19028.2663860417, 6.05500030517578, 4.0
19029.6662075, 19034.80011, 14.0574989318848, 4.0
19037.3335472083, 19041.900573375, 17.1925010681152, 4.0
19042.5503925833, 19046.2174315833, -2.9375, 4.0
19046.7006334167, 19047.51737375, 4.07499980926514, 4.0
19048.9009849167, 19049.700685875, 21.3999996185303, 4.0
19051.7509415833, 19077.7193635833, 14.1399993896484, 4.0
19079.9362341667, 19080.1195579583, 33.0, 1.0
19082.018273, 19082.7031956667, -0.875, 4.0
19084.553110625, 19085.5034645417, 6.05500030517578, 4.0
19087.5035947917, 19088.2036599583, 5.23000049591064, 4.0
19089.3536071667, 19089.9871029583, 7.375, 4.0
19096.43724575, 19096.5538862083, 33.0, 1.0
19099.2540205833, 19099.7542474167, -0.957499980926514, 4.0
19100.8210182083, 19101.3545896667, 4.32250022888184, 4.0
19102.1042748333, 19102.6372312083, 7.29250049591064, 4.0
19110.0048453333, 19110.804778375, 5.14750003814697, 4.0
19111.70492925, 19112.2882920417, 6.22000026702881, 4.0
19113.25509425, 19113.7886041667, 8.11750030517578, 4.0
19118.755374375, 19118.8386962917, 33.0, 1.0
19123.3042782917, 19123.705902625, 4.40499973297119, 4.0
19124.2723734167, 19124.5891806667, 9.19000053405762, 4.0
19125.222555375, 19125.72307875, 7.04500007629395, 4.0
19126.6561330417, 19126.7558637917, 33.0, 1.0
19159.6899826667, 19160.0915748333, 2.01250028610229, 4.0
19160.508200125, 19160.8749882083, 2.09500026702881, 4.0
19161.524809125, 19162.05841975, 8.44750022888184, 4.0
19165.0917409583, 19165.1921583333, 33.0, 1.0
19165.908394625, 19166.325495625, 3.16750049591064, 4.0
19166.6585089583, 19167.04214625, 5.23000049591064, 4.0
19167.5088125833, 19167.9252347917, 8.44750022888184, 4.0
19169.4920623333, 19169.758729125, 33.0, 1.0
19172.1756315417, 19174.6092166667, 5.06500053405762, 4.0
19174.9923897917, 19175.259291125, 3.25, 4.0
19175.6590375417, 19175.9260552917, 8.03500080108643, 4.0
19176.90921, 19177.009158375, 33.0, 1.0
19176.90921, 19178.3258702083, 33.0, 1.0
19176.90921, 19178.87608825, 33.0, 1.0
19176.90921, 19180.159593875, 4.15750026702881, 4.0
19180.5259404167, 19180.80943, 3.00250053405762, 4.0
19181.2260694167, 19181.559706375, 2.50750017166138, 4.0
19181.6929154583, 19181.8429265, -1.86500000953674, 4.0
19182.1928385417, 19182.6095569583, 27.2574996948242, 4.0
19183.2929464583, 19183.3595585833, 33.0, 1.0
19183.2929464583, 19184.1596136667, 33.0, 1.0
19183.2929464583, 19184.7763643333, 33.0, 1.0
19183.2929464583, 19185.34320975, 33.0, 1.0
19183.2929464583, 19185.8263982083, 33.0, 1.0
19186.8264209583, 19187.6103715, -0.957499980926514, 4.0
19188.0767620417, 19188.27645425, 33.0, 1.0
19189.1764862917, 19189.5769331667, 8.36499977111816, 4.0
19189.9433618333, 19190.37678175, 33.0, 1.0
19189.9433618333, 19191.4767543333, 4.23999977111816, 4.0
19191.8101137083, 19192.16014475, 7.21000003814697, 4.0
19192.5101705833, 19192.8438522083, 9.19000053405762, 4.0
19193.71028325, 19193.7922619583, -2.85500001907349, 4.0
19194.5103427917, 19194.5770271667, 33.0, 1.0
19195.4602951667, 19195.8105834167, -0.710000038146973, 4.0
19196.27746075, 19196.62737975, 3.00250053405762, 4.0
19196.977399, 19197.3271671667, 10.0150003433228, 4.0
19198.327511625, 19198.42720425, 33.0, 1.0
19203.809598, 19204.1946243333, 1.26999998092651, 4.0
19205.5946579167, 19206.110818625, 5.23000049591064, 4.0
19206.49444425, 19206.9281295, 5.23000049591064, 4.0
19214.6949665833, 19214.76175375, 33.0, 1.0
19217.6284485833, 19218.2785661667, -0.957499980926514, 4.0
19218.762214375, 19219.0286815417, 2.09500026702881, 4.0
19219.562220125, 19219.945583125, 6.05500030517578, 4.0
ylb, 3, false, 1
19223.1125075417, 19224.2622660417, 27.4225006103516, 4.0
19224.795871875, 19225.8458835417, 10.0150003433228, 4.0
19226.2623807917, 19226.8625424583, 3.00250053405762, 4.0
jsg, 3, false, 2
19229.779466875, 19230.362709625, 9.02500057220459, 4.0
19230.946303125, 19232.06285075, 16.0375003814697, 4.0
19232.5963713333, 19233.2464590833, 5.06500053405762, 4.0
dsd, 3, false, 3
19234.829763125, 19237.06307675, 6.05500030517578, 4.0
