not quite so smart as you think, 0, false, 1
not quite so smart as you think, 89, false, 1
191725.473797542, 191726.490779333, 13.1499996185303, 4.0
191727.323889333, 191727.373959667, -5.0, 4.0
191727.474063875, 191727.539198833, -5.0, 4.0
191728.474168625, 191729.339386167, 14.1399993896484, 4.0
191729.740648167, 191729.822429167, -5.0, 4.0
191729.907091833, 191729.97380525, -5.0, 4.0
191731.257558625, 191731.922677958, 18.0174999237061, 4.0
191732.540930292, 191732.607385792, -5.0, 4.0
191732.691185458, 191732.75622925, -5.0, 4.0
191732.8410095, 191732.908048917, -5.0, 4.0
191734.241026417, 191734.490979042, 1.10500001907349, 4.0
191734.957647, 191735.022943542, -5.0, 4.0
191735.107885458, 191735.172950875, -5.0, 4.0
191736.207815292, 191737.357790333, 16.0375003814697, 4.0
191738.856541125, 191738.924522, -5.0, 4.0
191739.674739625, 191740.50811225, 19.0900001525879, 4.0
191741.208063333, 191741.274739, -5.0, 4.0
191741.358268792, 191741.424747875, -5.0, 4.0
191741.5082185, 191741.573501125, -5.0, 4.0
191742.424679542, 191742.924844667, 10.0150003433228, 4.0
191744.691773333, 191745.823808125, 18.2649993896484, 4.0
191746.475062708, 191746.557103042, -5.0, 4.0
191746.625364667, 191746.707143583, -5.0, 4.0
191747.258565792, 191747.608351417, 5.3125, 4.0
191748.275260625, 191748.341776417, -5.0, 4.0
191748.425263583, 191748.50864675, -5.0, 4.0
191748.608737292, 191748.673842792, -5.0, 4.0
191749.959064875, 191751.508841292, 2.83750009536743, 4.0
191752.042010625, 191752.10742, -5.0, 4.0
191752.208764625, 191752.257475292, -5.0, 4.0
191754.475766083, 191755.142347, 17.3575000762939, 4.0
191755.6422335, 191755.724456667, -5.0, 4.0
191755.809236667, 191755.859180333, -5.0, 4.0
191756.759043, 191758.191262625, 15.2124996185303, 4.0
191761.259608375, 191762.241189875, 17.1100006103516, 4.0
191766.026393292, 191766.826329, -5.0, 4.0
191769.544636917, 191769.709801583, 100.0, 1.0
191767.659734583, 191770.258805458, -5.0, 4.0
191772.876880792, 191774.108851167, 18.0174999237061, 4.0
191776.91044425, 191776.976927792, 100.0, 1.0
191778.260453542, 191779.193944542, 0.0325002670288086, 4.0
191779.877180458, 191779.959258458, -5.0, 4.0
191780.110692917, 191780.192675667, -5.0, 4.0
191781.594038208, 191782.444135292, 19.1725006103516, 4.0
191783.294190125, 191783.359762375, -5.0, 4.0
191784.127635667, 191784.74291875, 12.1599998474121, 4.0
191785.277548375, 191785.344173708, -5.0, 4.0
191785.444566333, 191785.509616708, -5.0, 4.0
191786.544365625, 191786.911047333, 0.0325002670288086, 4.0
191788.061866292, 191789.193315208, 16.0375003814697, 4.0
191789.777795, 191789.860091458, -5.0, 4.0
191789.9447405, 191790.011478042, -5.0, 4.0
191790.311289417, 191790.394536833, -5.0, 4.0
191791.74489825, 191792.62681275, 18.0174999237061, 4.0
191793.411488167, 191793.460230167, -5.0, 4.0
191793.561476875, 191793.628204917, -5.0, 4.0
191793.744953958, 191793.810247333, -5.0, 4.0
191795.194924667, 191795.444913208, 0.0325002670288086, 4.0
191796.06162575, 191796.143701667, -5.0, 4.0
191796.228317375, 191796.293713208, -5.0, 4.0
191797.295130708, 191797.561843875, 4.32250022888184, 4.0
191799.245276667, 191800.344217, 19.0075016021729, 4.0
191802.528634958, 191802.812136583, 2.17750024795532, 4.0
191803.345470542, 191803.427492, -5.0, 4.0
191803.512156458, 191803.577520125, -5.0, 4.0
191804.462398917, 191805.627772458, 23.0500011444092, 4.0
191806.545713292, 191806.627702042, -5.0, 4.0
191806.712640542, 191806.777830083, -5.0, 4.0
191807.579151167, 191808.177926833, 15.0475006103516, 4.0
191809.162537708, 191809.728116333, 21.1525001525879, 4.0
191810.462488917, 191810.544623917, -5.0, 4.0
191811.979392417, 191812.111458375, 0.279999732971191, 4.0
191812.729329292, 191812.811459, -5.0, 4.0
191812.879513083, 191812.961529667, -5.0, 4.0
191814.1129365, 191814.894896833, 19.0075016021729, 4.0
191815.679665167, 191815.745124917, -5.0, 4.0
191816.463037417, 191818.963155917, 7.53999996185303, 4.0
191820.229958958, 191820.295248333, -5.0, 4.0
191820.396619917, 191820.461982208, -5.0, 4.0
191820.546495958, 191820.612000625, -5.0, 4.0
191821.496688208, 191821.928887625, 9.10750007629395, 4.0
191823.513529792, 191824.145634, 13.1499996185303, 4.0
191824.863522125, 191824.945607583, -5.0, 4.0
191825.030418417, 191825.112258125, -5.0, 4.0
191825.863607333, 191826.645809, 9.10750007629395, 4.0
191827.513626083, 191827.57912025, -5.0, 4.0
191827.699596208, 191827.72911225, -5.0, 4.0
191827.814019167, 191827.862490583, -5.0, 4.0
191827.946985667, 191827.995859042, -5.0, 4.0
every apple from every tree, 112, false, 2
191842.498059625, 191842.931551292, 7.12750053405762, 4.0
191843.798068583, 191843.880219958, -5.0, 4.0
191843.964866625, 191844.046888958, -5.0, 4.0
191844.11487725, 191844.181580792, -5.0, 4.0
191844.264856667, 191844.281412083, -5.0, 4.0
191844.648073167, 191844.713551208, -5.0, 4.0
191846.28164, 191847.613466625, 22.0599994659424, 4.0
191848.713784708, 191848.79718825, -5.0, 4.0
191849.531839625, 191849.980512875, 4.15750026702881, 4.0
191850.565154042, 191850.665133333, -5.0, 4.0
191850.751239833, 191850.847269625, -5.0, 4.0
191850.915518875, 191851.014031833, -5.0, 4.0
191851.198759042, 191851.281879542, -5.0, 4.0
191851.41513025, 191851.514069, -5.0, 4.0
191851.632192125, 191851.714039583, -5.0, 4.0
191854.315589083, 191855.030894, 17.1925010681152, 4.0
191855.765565125, 191855.83094, -5.0, 4.0
191856.015930875, 191856.083727667, -5.0, 4.0
191856.132464792, 191856.1822385, -5.0, 4.0
191857.065522125, 191857.699027833, -5.0, 4.0
191858.315755625, 191858.764489167, -5.0, 4.0
191860.449339583, 191862.064652792, 23.0500011444092, 4.0
191862.765932625, 191862.849338667, -5.0, 4.0
191862.932796792, 191863.016131083, -5.0, 4.0
191865.532908875, 191865.816466875, 2.01250028610229, 4.0
191866.34967175, 191866.4148905, -5.0, 4.0
191866.499723042, 191866.565078708, -5.0, 4.0
191867.5999815, 191867.831727167, 2.25999975204468, 4.0
191869.1165105, 191870.331888625, 14.6350002288818, 4.0
191870.849868208, 191870.931892667, -5.0, 4.0
191871.033211375, 191871.115327708, -5.0, 4.0
191871.183358917, 191871.281908042, -5.0, 4.0
191872.016779167, 191872.69871875, 16.2024993896484, 4.0
191874.500284125, 191875.5323345, 11.1700000762939, 4.0
191876.183556542, 191876.265555917, -5.0, 4.0
191876.366996792, 191876.432463667, -5.0, 4.0
191876.717019167, 191876.78234925, -5.0, 4.0
191878.367085917, 191878.765957875, 7.12750053405762, 4.0
191879.71704625, 191879.783853542, -5.0, 4.0
191879.867348958, 191879.932544583, -5.0, 4.0
191880.000584333, 191880.099258333, -5.0, 4.0
191880.183757958, 191880.249398667, -5.0, 4.0
191880.48390275, 191880.549316375, -5.0, 4.0
191882.05084875, 191882.450729125, 1.02250003814697, 4.0
191883.017343583, 191883.082816792, -5.0, 4.0
191883.167464083, 191883.217556125, -5.0, 4.0
191884.450812167, 191884.932966167, 7.29250049591064, 4.0
191886.65093525, 191887.933115708, 20.0799999237061, 4.0
191889.767858167, 191890.951236083, 28.0, 4.0
191891.467821, 191891.534584208, 100.0, 1.0
191891.451432708, 191891.933496875, -5.0, 4.0
191892.184513208, 191892.301194333, 100.0, 1.0
191892.184513208, 191892.7334045, -5.0, 4.0
191893.218003083, 191893.384651375, 100.0, 1.0
191893.218003083, 191893.784643, -5.0, 4.0
191894.584786958, 191895.468102417, 5.23000049591064, 4.0
191896.134842333, 191896.216921792, -5.0, 4.0
191896.301202333, 191896.368117875, -5.0, 4.0
191896.451656583, 191896.5339325, -5.0, 4.0
191896.601682625, 191896.683682667, -5.0, 4.0
191896.751548375, 191896.833789958, -5.0, 4.0
191897.88699025, 191898.684019792, 16.0375003814697, 4.0
191899.318336958, 191899.401749042, -5.0, 4.0
191899.468499083, 191899.551849542, -5.0, 4.0
191899.635361583, 191899.733884042, -5.0, 4.0
191901.852010625, 191902.58533325, 15.1300010681152, 4.0
191904.5188405, 191905.067837625, 13.3150005340576, 4.0
191905.669183625, 191905.73416025, -5.0, 4.0
191906.835603125, 191907.085591917, 0.0325002670288086, 4.0
191907.618962875, 191907.685485667, -5.0, 4.0
191907.802314458, 191907.867716625, -5.0, 4.0
191908.952408833, 191909.284439792, 8.28250026702881, 4.0
191910.252381333, 191910.317889583, -5.0, 4.0
191910.41923575, 191910.469307208, -5.0, 4.0
191910.552399417, 191910.61903525, -5.0, 4.0
191910.702437833, 191910.769287, -5.0, 4.0
191911.019263583, 191911.101239875, -5.0, 4.0
191912.252735167, 191913.051105958, 20.0799999237061, 4.0
191913.836071, 191913.93477525, -5.0, 4.0
191914.002990042, 191914.084790875, -5.0, 4.0
191914.852867875, 191915.234888958, 5.14750003814697, 4.0
191916.019539333, 191916.06825975, -5.0, 4.0
191916.153017833, 191916.234945333, -5.0, 4.0
191916.319375167, 191916.384981708, -5.0, 4.0
191917.719871083, 191918.301514708, 21.1525001525879, 4.0
191920.201844625, 191920.26863025, -5.0, 4.0
191920.336584958, 191920.420043333, -5.0, 4.0
191920.503335292, 191920.585265625, -5.0, 4.0
191920.653325875, 191920.718642083, -5.0, 4.0
191920.803291542, 191920.836539792, -5.0, 4.0
191921.38651075, 191921.451957208, -5.0, 4.0
191921.753239833, 191921.818574375, -5.0, 4.0
191922.970093708, 191924.302159208, 23.0500011444092, 4.0
191925.286711125, 191925.368904875, -5.0, 4.0
191925.453660917, 191925.535501083, -5.0, 4.0
191934.403979875, 191934.820997625, 2.34249973297119, 4.0
191935.403999208, 191935.502800542, -5.0, 4.0
191935.570991833, 191935.637498458, -5.0, 4.0
191937.304729792, 191938.936363083, 20.4099998474121, 4.0
191940.836510542, 191940.93651775, -5.0, 4.0
191941.604668083, 191942.203221375, 17.9349994659424, 4.0
191944.671522042, 191945.338138833, 5.06500053405762, 4.0
191947.3703445, 191947.436965792, -5.0, 4.0
191947.521787792, 191947.587149667, -5.0, 4.0
191947.671823417, 191947.72165225, -5.0, 4.0
191947.788189125, 191947.838186667, -5.0, 4.0
191948.971825708, 191949.438334542, 3.00250053405762, 4.0
191950.105027417, 191950.203771, -5.0, 4.0
191950.271953875, 191950.353935333, -5.0, 4.0
191950.421968458, 191950.488474292, -5.0, 4.0
191950.588407125, 191950.6204185, -5.0, 4.0
191951.03846975, 191951.120460208, -5.0, 4.0
the protesters blocked all traffic, 124, false, 3
191954.655432875, 191955.320870667, 20.1625003814697, 4.0
191955.805394458, 191955.887400333, -5.0, 4.0
191956.338842, 191957.371018625, 7.70499992370605, 4.0
191957.972204875, 191958.03883125, -5.0, 4.0
191958.122620417, 191958.187663792, -5.0, 4.0
191958.272672292, 191958.337736125, -5.0, 4.0
191958.872319958, 191959.272320792, 3.08500003814697, 4.0
191959.888990667, 191959.971102583, -5.0, 4.0
191960.039101583, 191960.105873833, -5.0, 4.0
191960.191662583, 191960.237786125, -5.0, 4.0
191960.30587, 191960.339056125, -5.0, 4.0
191960.705767583, 191960.77122875, -5.0, 4.0
191961.289133875, 191961.422458417, 0.115000247955322, 4.0
191961.905827542, 191961.972394958, -5.0, 4.0
191962.072470875, 191962.137878958, -5.0, 4.0
191963.089347417, 191963.87149725, 13.1499996185303, 4.0
191964.372676917, 191964.438042667, -5.0, 4.0
191964.506091167, 191964.588195417, -5.0, 4.0
191964.656133083, 191964.721405208, -5.0, 4.0
191964.789329667, 191964.871699625, -5.0, 4.0
191964.939560417, 191965.038227375, -5.0, 4.0
191965.106277917, 191965.188291792, -5.0, 4.0
191965.956188333, 191967.6549745, 15.1300010681152, 4.0
191968.306213375, 191968.371716625, -5.0, 4.0
191969.10627375, 191969.189686125, -5.0, 4.0
191969.273337792, 191969.355189875, -5.0, 4.0
191969.456377625, 191969.521702917, -5.0, 4.0
191969.722978083, 191969.805151042, -5.0, 4.0
191970.623069292, 191971.171898875, 14.0574989318848, 4.0
191971.639906333, 191971.721849833, -5.0, 4.0
191971.790030042, 191971.856497625, -5.0, 4.0
191973.190076958, 191974.355398958, 18.0174999237061, 4.0
191975.223444, 191975.322146625, -5.0, 4.0
191975.473595625, 191975.572154042, -5.0, 4.0
191975.640219208, 191975.738808875, -5.0, 4.0
191977.023641708, 191977.30558425, 10.1800003051758, 4.0
191978.556954125, 191978.623595875, 100.0, 1.0
191980.20576225, 191981.0737815, 4.07499980926514, 4.0
191981.707049917, 191981.789268917, -5.0, 4.0
191981.873940292, 191981.955871167, -5.0, 4.0
191982.059891542, 191982.105894583, -5.0, 4.0
191982.207189333, 191982.257124, -5.0, 4.0
191982.6404555, 191982.705867167, -5.0, 4.0
191982.9905355, 191983.055887125, -5.0, 4.0
191984.790777583, 191985.473055917, 20.1625003814697, 4.0
191986.240897458, 191986.307413375, -5.0, 4.0
191986.390830792, 191986.472813208, -5.0, 4.0
191986.540778833, 191986.622840792, -5.0, 4.0
191988.040996792, 191988.823047417, 20.1625003814697, 4.0
191989.491048792, 191989.573040292, -5.0, 4.0
191990.6410835, 191991.341084792, 6.05500030517578, 4.0
191992.506475583, 191992.573358125, -5.0, 4.0
191992.674667417, 191992.706753625, -5.0, 4.0
191993.007940292, 191993.091124417, -5.0, 4.0
191993.291285, 191993.37337025, -5.0, 4.0
191995.524839792, 191996.223538792, 18.1824989318848, 4.0
191997.924734083, 191998.023578375, -5.0, 4.0
191999.108317083, 191999.958286333, 18.1000003814697, 4.0
192001.523733, 192001.607211583, -5.0, 4.0
192002.808606208, 192003.108711083, 0.0325002670288086, 4.0
192003.658543, 192003.740674542, -5.0, 4.0
192003.825329917, 192003.873970292, -5.0, 4.0
192005.058893708, 192005.592099042, 3.00250053405762, 4.0
192006.774173542, 192006.874237583, -5.0, 4.0
192008.709081583, 192009.491109167, 11.0874996185303, 4.0
192010.358981667, 192010.407708375, -5.0, 4.0
192010.509168167, 192010.559235208, -5.0, 4.0
192010.65920925, 192010.724561542, -5.0, 4.0
192012.192523625, 192012.859172125, 14.1399993896484, 4.0
192013.442476083, 192013.524563458, -5.0, 4.0
192013.60964175, 192013.674593, -5.0, 4.0
192016.40940925, 192016.791701167, 6.30249977111816, 4.0
192018.0929555, 192018.176040792, 100.0, 1.0
192018.042773958, 192018.442327333, -5.0, 4.0
192018.909657167, 192019.559848708, 0.115000247955322, 4.0
192020.3098685, 192020.376190792, -5.0, 4.0
192020.476393958, 192020.543234708, -5.0, 4.0
192020.62672875, 192020.710033375, -5.0, 4.0
192022.093236458, 192023.260012458, 10.0975008010864, 4.0
192024.009927542, 192024.075409125, -5.0, 4.0
192024.176793583, 192024.242044917, -5.0, 4.0
192025.410046708, 192025.976813792, 3.00250053405762, 4.0
192026.676641583, 192026.758800917, -5.0, 4.0
192026.860122542, 192026.926853917, -5.0, 4.0
192027.010288708, 192027.092203083, -5.0, 4.0
192027.210110458, 192027.292244708, -5.0, 4.0
192027.410277083, 192027.476754542, -5.0, 4.0
192028.627326375, 192029.176953167, 3.08500003814697, 4.0
192029.843557292, 192029.943560792, -5.0, 4.0
192030.027136083, 192030.092346542, -5.0, 4.0
192030.177174792, 192030.260394292, -5.0, 4.0
