popularity is desired by all, 0, false, 1
popularity is desired by all, 117, false, 1
203282.659423542, 203283.108134042, 17.2749996185303, 4.0
203283.826113333, 203283.92492125, -5.0, 4.0
203284.042949875, 203284.109565125, -5.0, 4.0
203284.243079167, 203284.324796875, -5.0, 4.0
203285.392941667, 203286.374696167, 13.0675010681152, 4.0
203286.909596833, 203286.992871542, -5.0, 4.0
203287.109906417, 203287.191716875, -5.0, 4.0
203287.309961667, 203287.376345583, -5.0, 4.0
203287.576338542, 203287.658492875, -5.0, 4.0
203287.959792042, 203288.026401208, -5.0, 4.0
203295.360122, 203296.109079333, 15.1300010681152, 4.0
203296.726856, 203296.793524458, -5.0, 4.0
203298.693785625, 203299.609332917, 19.0900001525879, 4.0
203300.42743275, 203300.542618917, -5.0, 4.0
203300.643942167, 203300.742751167, -5.0, 4.0
203300.877352583, 203300.943897583, -5.0, 4.0
203302.794013875, 203303.476363583, 9.10750007629395, 4.0
203304.377467375, 203304.477483875, -5.0, 4.0
203304.6443435, 203304.759567917, -5.0, 4.0
203304.910822292, 203305.00954175, -5.0, 4.0
203305.24665025, 203305.294123167, -5.0, 4.0
203305.577663667, 203305.660837458, -5.0, 4.0
203305.944142292, 203306.026318917, -5.0, 4.0
203307.961061542, 203308.15984575, 3.00250053405762, 4.0
203309.927820458, 203310.810063417, 14.0574989318848, 4.0
203311.394550625, 203311.477879083, -5.0, 4.0
203311.61152925, 203311.6777855, -5.0, 4.0
203311.811554083, 203311.89454375, -5.0, 4.0
203312.06103275, 203312.144459417, -5.0, 4.0
203312.2446215, 203312.32798375, -5.0, 4.0
203312.444783417, 203312.527978417, -5.0, 4.0
203312.811378917, 203312.910062875, -5.0, 4.0
203313.244636583, 203313.343439333, -5.0, 4.0
203313.528087833, 203313.626806583, -5.0, 4.0
203314.844926, 203315.376896042, 7.12750053405762, 4.0
203317.278448333, 203319.877058792, 20.4924983978271, 4.0
203320.511973208, 203320.594008333, -5.0, 4.0
203321.962060667, 203323.127568375, 21.2350006103516, 4.0
203323.995225875, 203324.0941655, -5.0, 4.0
203324.245868667, 203324.312132542, -5.0, 4.0
203324.428918125, 203324.527514917, -5.0, 4.0
203324.712202167, 203324.81085625, -5.0, 4.0
203324.91221625, 203324.995549292, -5.0, 4.0
203325.128894833, 203325.21219725, -5.0, 4.0
203327.095775625, 203327.294411542, 1.10500001907349, 4.0
203328.112330167, 203328.195767125, -5.0, 4.0
203328.312386625, 203328.377816083, -5.0, 4.0
203330.379088708, 203330.779256292, 7.04500007629395, 4.0
203332.279363292, 203333.194889708, 18.0174999237061, 4.0
203333.846212333, 203333.929315083, -5.0, 4.0
203335.529766083, 203335.711632625, 3.00250053405762, 4.0
203336.179531167, 203336.262855125, -5.0, 4.0
203336.396342208, 203336.49491475, -5.0, 4.0
203338.063087125, 203338.64648325, 2.01250028610229, 4.0
203339.546332125, 203339.645237917, -5.0, 4.0
203339.79658525, 203339.878563917, -5.0, 4.0
203340.146573917, 203340.229713958, -5.0, 4.0
203340.496727167, 203340.596582875, -5.0, 4.0
203342.1799685, 203342.530022542, 3.08500003814697, 4.0
203343.329998292, 203343.412185292, -5.0, 4.0
203343.563643667, 203343.613249542, -5.0, 4.0
203343.746812875, 203343.830018292, -5.0, 4.0
203344.063516792, 203344.130127833, -5.0, 4.0
203344.430149417, 203344.5123725, -5.0, 4.0
203346.06363825, 203347.696935792, 16.3674983978271, 4.0
203348.347199667, 203348.430276417, -5.0, 4.0
203348.530310042, 203348.629106875, -5.0, 4.0
203348.730336042, 203348.829062833, -5.0, 4.0
203349.013848333, 203349.09597125, -5.0, 4.0
203349.363678417, 203349.463729833, -5.0, 4.0
203350.213805625, 203350.862625792, 5.06500053405762, 4.0
203351.680582708, 203351.763829708, -5.0, 4.0
203353.397543875, 203354.179411708, 14.3874988555908, 4.0
203354.714021417, 203354.814036208, -5.0, 4.0
203354.930893083, 203355.014040917, -5.0, 4.0
203355.114083958, 203355.19632, -5.0, 4.0
203355.3642465, 203355.462823958, -5.0, 4.0
203355.5979265, 203355.679513292, -5.0, 4.0
203355.814360667, 203355.896294208, -5.0, 4.0
203356.164110083, 203356.246244208, -5.0, 4.0
203356.397855458, 203356.496318167, -5.0, 4.0
203357.831071292, 203358.213289292, 3.08500003814697, 4.0
203359.03114975, 203359.09641625, -5.0, 4.0
203359.231343542, 203359.313177417, -5.0, 4.0
203359.414555292, 203359.513206875, -5.0, 4.0
203359.697740333, 203359.796516417, -5.0, 4.0
203359.931231167, 203360.013201125, -5.0, 4.0
203361.747845333, 203362.131214833, 2.09500026702881, 4.0
203363.363390417, 203363.414577042, -5.0, 4.0
203363.648078375, 203363.73126275, -5.0, 4.0
203363.881495708, 203363.963450042, -5.0, 4.0
203364.181479792, 203364.280020958, -5.0, 4.0
203365.446809042, 203365.713501333, -5.0, 4.0
203367.9804185, 203368.014934583, -5.0, 4.0
203369.248437083, 203369.58179025, 1.1875, 4.0
203370.165084458, 203370.215014208, -5.0, 4.0
203370.3651865, 203370.415036083, -5.0, 4.0
203371.598638958, 203371.781878083, 4.48750019073486, 4.0
203373.497298042, 203373.565248042, -5.0, 4.0
203373.665317667, 203373.73058075, -5.0, 4.0
203376.448899542, 203376.665667458, 0.115000247955322, 4.0
203378.0143905, 203378.0643615, -5.0, 4.0
203379.149234625, 203380.114619458, 23.2975006103516, 4.0
203381.281272542, 203381.381344875, -5.0, 4.0
203381.466059167, 203381.564613917, -5.0, 4.0
203382.749312333, 203382.916194667, 1.1875, 4.0
203383.449337708, 203383.514700583, -5.0, 4.0
203383.632839292, 203383.698048375, -5.0, 4.0
203384.849453042, 203385.06486775, 1.02250003814697, 4.0
203387.032912, 203387.615177792, 10.3450002670288, 4.0
203388.599589417, 203388.699573167, -5.0, 4.0
203388.816462417, 203388.898375708, -5.0, 4.0
203389.066629792, 203389.099590292, -5.0, 4.0
203390.116555792, 203390.648564, 11.0874996185303, 4.0
203391.216478708, 203391.29898275, -5.0, 4.0
203391.5165295, 203391.581886, -5.0, 4.0
203391.883185583, 203391.948596625, -5.0, 4.0
consequences of a wrong turn, 235, false, 2
203399.267047625, 203399.499065292, 6.30249977111816, 4.0
203409.367688292, 203409.882890333, 14.3049983978271, 4.0
203410.617616083, 203410.667657625, 100.0, 1.0
203411.5011395, 203411.66765375, 100.0, 1.0
203412.76783025, 203413.334551375, 1.10500001907349, 4.0
203414.117989083, 203414.216757417, -5.0, 4.0
203414.318118958, 203414.384747625, -5.0, 4.0
203414.518241917, 203414.551412542, -5.0, 4.0
203415.834866875, 203416.4171715, 13.1499996185303, 4.0
203416.984790208, 203417.08353075, -5.0, 4.0
203417.184838792, 203417.266946125, -5.0, 4.0
203417.368243, 203417.434908833, -5.0, 4.0
203417.834856333, 203417.901562625, -5.0, 4.0
203419.18500625, 203419.867150417, 11.2525005340576, 4.0
203420.651756333, 203420.733885167, -5.0, 4.0
203420.85180025, 203420.935117542, -5.0, 4.0
203421.035510792, 203421.1184, -5.0, 4.0
203421.218450792, 203421.301810167, -5.0, 4.0
203421.435199667, 203421.517366875, -5.0, 4.0
203421.868433458, 203421.950600708, -5.0, 4.0
203423.535356708, 203424.700868042, 15.0475006103516, 4.0
203425.502139667, 203425.584278, -5.0, 4.0
203425.68551125, 203425.769018, -5.0, 4.0
203425.868730167, 203425.967583083, -5.0, 4.0
203426.052116, 203426.134249042, -5.0, 4.0
203426.219055125, 203426.302106875, -5.0, 4.0
203426.735535583, 203426.835488417, -5.0, 4.0
203426.985785292, 203427.067696875, -5.0, 4.0
203427.202310625, 203427.268943083, -5.0, 4.0
203428.302220042, 203428.701014833, 4.15750026702881, 4.0
203429.385751542, 203429.484473208, -5.0, 4.0
203429.602465, 203429.669349625, -5.0, 4.0
203429.785899833, 203429.852434125, -5.0, 4.0
203429.985759, 203430.0691655, -5.0, 4.0
203430.218982833, 203430.302345875, -5.0, 4.0
203430.654958042, 203430.717850875, -5.0, 4.0
203432.286132917, 203432.984731417, 14.3049983978271, 4.0
203433.802606167, 203433.902684833, -5.0, 4.0
203434.002805, 203434.085993542, -5.0, 4.0
203434.185931125, 203434.268122708, -5.0, 4.0
203434.352608583, 203434.434917625, -5.0, 4.0
203434.502803292, 203434.60157925, -5.0, 4.0
203434.685940167, 203434.786065167, -5.0, 4.0
203436.469475292, 203437.301652208, 19.4200000762939, 4.0
203438.286201792, 203438.369583875, -5.0, 4.0
203438.469734042, 203438.551724792, -5.0, 4.0
203439.269971583, 203439.818488208, 5.14750003814697, 4.0
203440.686784333, 203440.751829583, -5.0, 4.0
203440.886503167, 203440.968568292, -5.0, 4.0
203441.069957583, 203441.16975475, -5.0, 4.0
203442.253248917, 203442.985358375, 12.1599998474121, 4.0
203443.519858708, 203443.602069917, -5.0, 4.0
203443.703310375, 203443.786630167, -5.0, 4.0
203443.886715292, 203443.968796042, -5.0, 4.0
203444.336801792, 203444.402026875, -5.0, 4.0
203447.753507667, 203448.019097292, 1.1875, 4.0
203448.570282958, 203448.653534042, -5.0, 4.0
203448.753615125, 203448.837033167, -5.0, 4.0
203448.920603125, 203449.003620833, -5.0, 4.0
203450.25371875, 203450.870541333, 4.23999977111816, 4.0
203451.720500833, 203451.802564792, -5.0, 4.0
203451.903881417, 203451.985822583, -5.0, 4.0
203452.070429083, 203452.153909333, -5.0, 4.0
203452.337077708, 203452.419273042, -5.0, 4.0
203452.787126708, 203452.869253042, -5.0, 4.0
203454.188436458, 203455.352772083, 15.0475006103516, 4.0
203455.870764833, 203455.9695435, -5.0, 4.0
203456.071009583, 203456.137436667, -5.0, 4.0
203456.237609042, 203456.303959833, -5.0, 4.0
203456.40416875, 203456.4540965, -5.0, 4.0
203456.5707685, 203456.636241208, -5.0, 4.0
203456.770913458, 203456.836367, -5.0, 4.0
203457.187466167, 203457.2862465, -5.0, 4.0
203457.4210115, 203457.5196245, -5.0, 4.0
203458.67102975, 203458.837698625, 1.1875, 4.0
203459.354215375, 203459.420897042, -5.0, 4.0
203459.537733625, 203459.603310917, -5.0, 4.0
203460.871096792, 203461.753216958, 11.0874996185303, 4.0
203462.687897042, 203462.7866745, -5.0, 4.0
203462.921411292, 203463.003270542, -5.0, 4.0
203463.104523417, 203463.169926625, -5.0, 4.0
203463.288657167, 203463.353265917, -5.0, 4.0
203463.838053667, 203463.920068375, -5.0, 4.0
203464.088009042, 203464.170044292, -5.0, 4.0
203464.288077375, 203464.370253583, -5.0, 4.0
203464.487836875, 203464.554730292, -5.0, 4.0
203466.021526125, 203466.470220875, 4.23999977111816, 4.0
203467.221407917, 203467.303614125, -5.0, 4.0
203467.421777708, 203467.486916375, -5.0, 4.0
203467.571678833, 203467.670361958, -5.0, 4.0
203467.754839167, 203467.836914583, -5.0, 4.0
203467.921379125, 203468.0035105, -5.0, 4.0
203468.188151375, 203468.286978083, -5.0, 4.0
203468.53822475, 203468.603864833, -5.0, 4.0
203469.637156083, 203469.888295167, -5.0, 4.0
203471.553756167, 203471.620486167, -5.0, 4.0
203473.20541325, 203473.437282, 11.0050010681152, 4.0
203474.488759083, 203474.605067208, 100.0, 1.0
203475.555387667, 203475.854130375, -5.0, 4.0
203477.204135333, 203477.504301417, 5.3125, 4.0
203481.289112875, 203481.839210792, 24.7824993133545, 4.0
203482.939237792, 203483.039071625, 100.0, 1.0
203483.755852333, 203483.972500042, 100.0, 1.0
203486.206129667, 203486.672805375, -0.792500019073486, 4.0
203487.256144042, 203487.322784667, -5.0, 4.0
203487.439565375, 203487.504897958, -5.0, 4.0
203488.67289275, 203488.838149792, -0.792500019073486, 4.0
203491.339727083, 203491.555134917, -5.0, 4.0
203492.089689875, 203492.188532875, -5.0, 4.0
203493.40665675, 203494.505347625, 22.3074989318848, 4.0
203496.990125083, 203497.505850083, 18.1824989318848, 4.0
203498.788942042, 203498.872304542, -5.0, 4.0
203499.940479083, 203500.489167083, 14.0574989318848, 4.0
203501.023761917, 203501.105746292, -5.0, 4.0
203501.207193167, 203501.289123458, -5.0, 4.0
203502.123979708, 203502.8059805, 11.0050010681152, 4.0
203503.59061175, 203503.673800208, -5.0, 4.0
203503.773879792, 203503.857415167, -5.0, 4.0
203504.057306292, 203504.140498333, -5.0, 4.0
203504.27394325, 203504.357266208, -5.0, 4.0
203504.457556667, 203504.539358792, -5.0, 4.0
203504.740555083, 203504.839311333, -5.0, 4.0
203506.44068525, 203506.989632708, 9.02500057220459, 4.0
203507.824058917, 203507.92406475, -5.0, 4.0
203508.024213333, 203508.106397583, -5.0, 4.0
203508.207510083, 203508.289572708, -5.0, 4.0
203509.324325875, 203509.5064165, 0.0325002670288086, 4.0
203510.124291792, 203510.2063475, -5.0, 4.0
203510.324510708, 203510.406437, -5.0, 4.0
203512.991170792, 203514.256627125, 17.1925010681152, 4.0
203514.9579465, 203515.056725292, -5.0, 4.0
203515.158018, 203515.240207, -5.0, 4.0
203515.324761625, 203515.40844075, -5.0, 4.0
203515.49140575, 203515.590114583, -5.0, 4.0
203515.79150675, 203515.856843083, -5.0, 4.0
203517.008202875, 203517.973689667, 18.0174999237061, 4.0
203518.524745583, 203518.6569685, -5.0, 4.0
203518.758559917, 203518.840266, -5.0, 4.0
203518.924901125, 203519.007952083, -5.0, 4.0
203519.124978417, 203519.207092333, -5.0, 4.0
203519.374923708, 203519.440354417, -5.0, 4.0
203520.824984083, 203521.923743917, 15.2124996185303, 4.0
203522.491749583, 203522.573904083, -5.0, 4.0
203522.675448125, 203522.773861833, -5.0, 4.0
203522.858494708, 203522.940623375, -5.0, 4.0
203523.025196833, 203523.108556958, -5.0, 4.0
203523.258695708, 203523.357260042, -5.0, 4.0
