the location of the crime, 0, false, 1
the location of the crime, 80, false, 1
240028.381057875, 240029.364240208, 19.1725006103516, 4.0
240030.780878167, 240032.614486792, 6.55000019073486, 4.0
240034.047945125, 240034.147761708, 100.0, 1.0
240034.014561083, 240034.463367875, -5.0, 4.0
240034.781249917, 240035.664546583, 9.02500057220459, 4.0
240036.314278792, 240036.396359917, -5.0, 4.0
240037.214681833, 240037.84793275, 4.15750026702881, 4.0
240038.56478775, 240038.631414417, -5.0, 4.0
240038.717290542, 240038.813543083, -5.0, 4.0
240038.948476833, 240039.04706225, -5.0, 4.0
240039.198068042, 240039.296873542, -5.0, 4.0
240039.531458708, 240039.664741417, -5.0, 4.0
240039.832521083, 240039.930450917, -5.0, 4.0
240041.748279333, 240042.348358208, 0.0325002670288086, 4.0
240043.665167833, 240044.731837167, 9.93249988555908, 4.0
240046.230551458, 240046.315173417, -5.0, 4.0
240046.398892, 240046.497423583, -5.0, 4.0
240046.632129083, 240046.715208625, -5.0, 4.0
240047.115274833, 240047.198674333, -5.0, 4.0
240047.96505675, 240049.382045625, 15.2124996185303, 4.0
240050.798916875, 240051.36567675, 2.01250028610229, 4.0
240052.365669667, 240052.432234125, -5.0, 4.0
240052.5326005, 240052.647836, -5.0, 4.0
240052.765846, 240052.86447675, -5.0, 4.0
240053.482410583, 240053.932476125, 2.01250028610229, 4.0
240054.532534083, 240054.59796175, -5.0, 4.0
240055.96592925, 240057.849418792, 19.0075016021729, 4.0
240059.014791625, 240059.248232792, -5.0, 4.0
240060.766325958, 240061.516223208, 8.28250026702881, 4.0
240062.399747083, 240063.066400792, 14.0574989318848, 4.0
240064.049755708, 240064.13189225, -5.0, 4.0
240064.266528042, 240064.3485795, -5.0, 4.0
240065.016446458, 240065.766523917, 12.0774993896484, 4.0
240066.516571667, 240066.599953625, -5.0, 4.0
240066.716681333, 240066.815366292, -5.0, 4.0
240066.916531958, 240067.015377667, -5.0, 4.0
240067.150051208, 240067.249919042, -5.0, 4.0
240067.416700583, 240067.4833195, -5.0, 4.0
240068.900061417, 240069.266919458, 0.0325002670288086, 4.0
240070.416923333, 240071.416949125, 13.2325000762939, 4.0
240071.91692825, 240072.015758708, -5.0, 4.0
240072.117239333, 240072.199107208, -5.0, 4.0
240072.333780542, 240072.415753125, -5.0, 4.0
240072.683588292, 240072.783571667, -5.0, 4.0
240073.583772208, 240074.233759875, 5.14750003814697, 4.0
240074.9004555, 240074.983803125, -5.0, 4.0
240075.084164625, 240075.1825385, -5.0, 4.0
240075.2674205, 240075.365956708, -5.0, 4.0
240075.567190667, 240075.650887167, -5.0, 4.0
240075.983853, 240076.08263325, -5.0, 4.0
240077.350783583, 240077.717324917, 0.0325002670288086, 4.0
240078.800830542, 240080.500889167, 20.1625003814697, 4.0
240081.084086083, 240081.167384958, -5.0, 4.0
240081.751070542, 240082.767631, 8.11750030517578, 4.0
240083.270162458, 240083.367617167, -5.0, 4.0
240084.0345595, 240084.484507458, 5.06500053405762, 4.0
240085.11770275, 240085.199887833, -5.0, 4.0
240085.267938292, 240085.366702167, -5.0, 4.0
240085.451700792, 240085.549994417, -5.0, 4.0
240085.684596042, 240085.76785475, -5.0, 4.0
240086.90128825, 240087.301457833, 1.02250003814697, 4.0
240088.384755042, 240088.951435042, 2.01250028610229, 4.0
240089.734689167, 240089.816907875, -5.0, 4.0
240089.901490708, 240089.984734125, -5.0, 4.0
240090.11836575, 240090.201215417, -5.0, 4.0
240091.134555958, 240092.368238, 17.0275001525879, 4.0
240092.935016708, 240093.000464833, -5.0, 4.0
240093.585123625, 240094.501803833, 8.11750030517578, 4.0
240095.651934083, 240096.752189208, 11.1700000762939, 4.0
240097.685312625, 240097.784126958, -5.0, 4.0
240097.885291125, 240097.96744275, -5.0, 4.0
240098.052025125, 240098.135419917, -5.0, 4.0
240098.285319667, 240098.367554333, -5.0, 4.0
240098.902951667, 240099.385461458, 4.07499980926514, 4.0
240100.0020385, 240100.084186708, -5.0, 4.0
240100.1523625, 240100.250957458, -5.0, 4.0
240100.319065208, 240100.417659083, -5.0, 4.0
240100.4855405, 240100.585689417, -5.0, 4.0
240101.018748417, 240101.117267708, -5.0, 4.0
240101.269019, 240101.335653417, -5.0, 4.0
never too rich and never too thin, 102, false, 2
240104.085880542, 240104.767964292, 13.3150005340576, 4.0
240105.385781958, 240105.467900958, -5.0, 4.0
240105.569118958, 240105.635818292, -5.0, 4.0
240106.169290208, 240106.686026833, 5.06500053405762, 4.0
240107.33588175, 240107.4348495, -5.0, 4.0
240107.502679917, 240107.586075708, -5.0, 4.0
240107.686017542, 240107.801661625, -5.0, 4.0
240107.985821542, 240108.084768625, -5.0, 4.0
240109.036198333, 240110.534820208, 21.1525001525879, 4.0
240111.5196405, 240111.952820833, 6.22000026702881, 4.0
240112.45397825, 240112.551693875, -5.0, 4.0
240112.652993125, 240112.735118042, -5.0, 4.0
240112.819744333, 240112.9031655, -5.0, 4.0
240113.002914, 240113.101714542, -5.0, 4.0
240113.636542417, 240114.5517365, 16.2024993896484, 4.0
240115.119715875, 240115.218530417, -5.0, 4.0
240115.353313792, 240115.468525167, -5.0, 4.0
240115.553339958, 240115.635309875, -5.0, 4.0
240116.719907875, 240117.01991, 2.17750024795532, 4.0
240117.9701385, 240119.386722208, 20.2449989318848, 4.0
240119.803331458, 240119.902154958, -5.0, 4.0
240120.420202375, 240121.286882, 15.0475006103516, 4.0
240122.203684083, 240122.836916583, 15.0475006103516, 4.0
240124.137126042, 240124.487185458, 1.02250003814697, 4.0
240125.487286958, 240126.553826792, 16.1199989318848, 4.0
240127.187326125, 240127.820693708, 3.41499996185303, 4.0
240128.570843, 240128.670601417, 100.0, 1.0
240128.504038917, 240128.952735542, -5.0, 4.0
240129.220773042, 240129.354098375, 100.0, 1.0
240129.220773042, 240129.6194965, -5.0, 4.0
240130.287511667, 240131.304219708, 17.1100006103516, 4.0
240131.954246583, 240132.054233292, -5.0, 4.0
240132.68777425, 240133.20432575, 9.19000053405762, 4.0
240134.171070083, 240134.58789625, 2.25999975204468, 4.0
240135.221166375, 240135.3198915, -5.0, 4.0
240135.404640167, 240135.503293917, -5.0, 4.0
240135.587784708, 240135.686590042, -5.0, 4.0
240136.421276583, 240138.421433625, 7.04500007629395, 4.0
240139.970202375, 240140.021396292, -5.0, 4.0
240140.154913458, 240140.238023958, -5.0, 4.0
240140.338235167, 240140.420206417, -5.0, 4.0
240140.754742667, 240140.870260875, -5.0, 4.0
240141.621685833, 240142.171611875, 3.16750049591064, 4.0
240143.521701375, 240143.871633417, 1.10500001907349, 4.0
240144.421743083, 240144.537144125, -5.0, 4.0
240145.288508417, 240146.555274208, 15.1300010681152, 4.0
240147.121954583, 240147.18850675, -5.0, 4.0
240147.305200583, 240147.38856175, -5.0, 4.0
240147.921973375, 240148.472061208, 3.08500003814697, 4.0
240149.122046917, 240149.238743542, -5.0, 4.0
240149.357849042, 240149.420948625, -5.0, 4.0
240149.505515333, 240149.60543225, -5.0, 4.0
240149.838617583, 240149.938655417, -5.0, 4.0
240151.038825917, 240151.338868083, 0.0325002670288086, 4.0
240152.538995292, 240153.689002875, 15.0475006103516, 4.0
240154.289079917, 240154.404473333, -5.0, 4.0
240154.472586667, 240154.555975208, -5.0, 4.0
240155.055862417, 240155.555921125, 6.22000026702881, 4.0
240156.222508875, 240156.321323042, -5.0, 4.0
240156.422859833, 240156.521244792, -5.0, 4.0
240156.606024833, 240156.689567875, -5.0, 4.0
240156.889250417, 240156.989211375, -5.0, 4.0
240157.772671875, 240159.189415958, 21.3175010681152, 4.0
240159.789381542, 240159.939291792, -5.0, 4.0
240160.972870083, 240161.256258792, -0.792500019073486, 4.0
240162.339859667, 240162.406288292, 100.0, 1.0
240162.339859667, 240162.822916708, 100.0, 1.0
240162.289603292, 240163.021613, -5.0, 4.0
240164.088324292, 240165.073192958, 20.0799999237061, 4.0
240165.789863292, 240165.855225458, -5.0, 4.0
240165.940062375, 240166.055193, -5.0, 4.0
240166.19001475, 240166.255215292, -5.0, 4.0
240167.089864917, 240167.706612125, -5.0, 4.0
240168.906703083, 240169.3400905, 5.23000049591064, 4.0
240170.290176417, 240170.372194292, -5.0, 4.0
240170.45692525, 240170.540114042, -5.0, 4.0
240170.69017425, 240170.773491583, -5.0, 4.0
240171.640178625, 240173.256858833, 17.0275001525879, 4.0
240173.856953167, 240173.955449333, -5.0, 4.0
240175.02373075, 240175.323881708, 1.02250003814697, 4.0
240176.3570895, 240177.407209667, 21.3175010681152, 4.0
240178.173934875, 240178.272689458, -5.0, 4.0
240178.340618083, 240178.422724667, -5.0, 4.0
240178.590688667, 240178.672694042, -5.0, 4.0
240179.324063292, 240180.024056458, 16.2849998474121, 4.0
240180.59096025, 240180.672908875, -5.0, 4.0
240180.7912575, 240180.839671042, -5.0, 4.0
240181.307601375, 240182.073109833, 15.0475006103516, 4.0
240183.824345583, 240184.141117167, 1.1875, 4.0
240185.34104575, 240186.757792458, 19.0075016021729, 4.0
240187.707822708, 240187.823317292, -5.0, 4.0
240188.507956167, 240189.274653625, 7.04500007629395, 4.0
240189.958024625, 240190.057969917, -5.0, 4.0
240190.141631292, 240190.223586417, -5.0, 4.0
240190.324925333, 240190.423591458, -5.0, 4.0
240190.641355708, 240190.741395375, -5.0, 4.0
240191.391485417, 240191.941550125, 10.0975008010864, 4.0
240192.941612417, 240193.574702458, 16.0375003814697, 4.0
240194.208315, 240194.307111, -5.0, 4.0
240194.4083405, 240194.490381958, -5.0, 4.0
240194.641804667, 240194.740466, -5.0, 4.0
240195.091710542, 240195.174950167, -5.0, 4.0
most judges are very honest, 88, false, 3
240197.558537, 240198.575298875, 13.1499996185303, 4.0
240199.142288375, 240199.808769667, 8.19999980926514, 4.0
240200.642182833, 240200.741952667, 100.0, 1.0
240200.5920725, 240201.024172333, -5.0, 4.0
240201.675451875, 240201.792248125, 100.0, 1.0
240201.675451875, 240202.040869625, -5.0, 4.0
240202.508830292, 240203.542226, 12.0774993896484, 4.0
240204.242296667, 240204.341168833, -5.0, 4.0
240204.425896292, 240204.509115833, -5.0, 4.0
240204.658658833, 240204.77422275, -5.0, 4.0
240205.6924225, 240206.642435625, 12.0774993896484, 4.0
240207.37579575, 240207.508027125, -5.0, 4.0
240207.542441, 240207.658085625, -5.0, 4.0
240207.725904167, 240207.824664167, -5.0, 4.0
240207.9093495, 240208.008181042, -5.0, 4.0
240208.125875667, 240208.241218667, -5.0, 4.0
240208.359483125, 240208.47480225, -5.0, 4.0
240209.126070625, 240210.276018167, 20.1625003814697, 4.0
240210.992721042, 240211.075058875, -5.0, 4.0
240211.176105542, 240211.258205333, -5.0, 4.0
240211.376294458, 240211.491522833, -5.0, 4.0
240212.176260208, 240213.876441292, 19.0075016021729, 4.0
240214.5096415, 240214.609731125, -5.0, 4.0
240215.6097235, 240215.893045333, 0.197499752044678, 4.0
240217.093204917, 240217.793262417, 10.0150003433228, 4.0
240218.376474333, 240218.475280333, -5.0, 4.0
240219.060058958, 240220.126716417, 18.4299983978271, 4.0
240220.693395625, 240220.792115792, -5.0, 4.0
240220.876869125, 240220.960165417, -5.0, 4.0
240221.060106542, 240221.160044292, -5.0, 4.0
240221.493558875, 240221.610090458, -5.0, 4.0
240222.393553625, 240222.993639083, 5.14750003814697, 4.0
240223.576919417, 240223.692358833, -5.0, 4.0
240223.777157208, 240223.875725958, -5.0, 4.0
240223.977095542, 240224.060454083, -5.0, 4.0
240224.226933917, 240224.325844708, -5.0, 4.0
240225.493901792, 240226.077203708, 8.19999980926514, 4.0
240226.643706792, 240226.743597583, -5.0, 4.0
240226.827353792, 240226.92616425, -5.0, 4.0
240227.643847917, 240228.477251375, 3.00250053405762, 4.0
240229.875980708, 240229.942748875, -5.0, 4.0
240230.094133292, 240230.177336125, -5.0, 4.0
240230.277241708, 240230.3595685, -5.0, 4.0
240230.527362958, 240230.609597917, -5.0, 4.0
240230.944110375, 240231.026112417, -5.0, 4.0
240231.610949208, 240232.69431025, 19.0075016021729, 4.0
240234.011107125, 240234.277699542, -0.875, 4.0
240235.311157917, 240235.644406667, 2.01250028610229, 4.0
240236.061156875, 240236.159799875, -5.0, 4.0
240236.76128025, 240237.961373542, 15.5424995422363, 4.0
240238.561317125, 240238.693337333, -5.0, 4.0
240238.745201333, 240238.84328025, -5.0, 4.0
240238.961302833, 240239.076661167, -5.0, 4.0
240239.344529792, 240239.493445083, -5.0, 4.0
240240.094675583, 240240.528076417, 3.25, 4.0
240241.194741792, 240241.310138958, -5.0, 4.0
240241.394946958, 240241.495023083, -5.0, 4.0
240241.561935625, 240241.67692775, -5.0, 4.0
240241.794842208, 240241.910191083, -5.0, 4.0
240242.1447835, 240242.24477075, -5.0, 4.0
240243.394929208, 240243.678189958, 1.02250003814697, 4.0
240244.745011833, 240245.861753708, 22.0599994659424, 4.0
240246.4450495, 240246.543815833, -5.0, 4.0
240247.111907125, 240247.628525708, 6.05500030517578, 4.0
240248.178483917, 240248.310805333, -5.0, 4.0
240248.395308625, 240248.495069167, -5.0, 4.0
