they might find your comment offensive, 139, char, 1
225215.168627958, 225215.951636625, 19.0075016021729, 4.0, s
225215.168627958, 225215.951636625, 19.0075016021729, 4.0, t
225217.418760875, 225217.801987292, 9.19000053405762, 4.0, ti
225217.418760875, 225217.801987292, 9.19000053405762, 4.0, th
225219.152185125, 225219.585696833, 4.65249919891357, 4.0, tha
225219.152185125, 225219.585696833, 4.65249919891357, 4.0, thi
225220.185419208, 225220.284191458, -5.0, 4.0, th
225220.369088833, 225220.467606875, -5.0, 4.0, thd
225220.552393375, 225220.634158917, -5.0, 4.0, the
225221.452390542, 225222.28408, 23.0500011444092, 4.0, thex
225221.452390542, 225222.28408, 23.0500011444092, 4.0, thew
225222.785560708, 225222.8856045, -5.0, 4.0, they
225224.335820917, 225224.501184583, 0.0325002670288086, 4.0, theya
225224.335820917, 225224.501184583, 0.0325002670288086, 4.0, theyb
225225.002453583, 225225.085720292, -5.0, 4.0, they
225225.919249583, 225226.534600083, 12.2424983978271, 4.0, they i
225225.919249583, 225226.534600083, 12.2424983978271, 4.0, they l
225227.035720667, 225227.134663083, -5.0, 4.0, they m
225227.836036083, 225228.519342375, 7.12750053405762, 4.0, they mi
225227.836036083, 225228.519342375, 7.12750053405762, 4.0, they mg
225229.069410333, 225229.202655, -5.0, 4.0, they m
225230.269563125, 225230.469383875, -0.792500019073486, 4.0, they m a
225230.869601958, 225231.852760375, 100.0, 1.0, they m
225230.869601958, 225233.919794417, 7.04500007629395, 4.0, they mi
225235.18638025, 225235.636304875, 9.10750007629395, 4.0, they mii
225235.18638025, 225235.636304875, 9.10750007629395, 4.0, they mih
225236.286408542, 225236.385274708, -5.0, 4.0, they mij
225236.4535505, 225236.552144333, -5.0, 4.0, they mig
225237.353384958, 225237.701974667, 7.53999996185303, 4.0, they migi
225237.353384958, 225237.701974667, 7.53999996185303, 4.0, they migg
225238.353141208, 225238.452066417, -5.0, 4.0, they mig
225238.536848083, 225238.637096375, -5.0, 4.0, they migh
225239.420113958, 225240.319137042, 17.2749996185303, 4.0, they mighr
225239.420113958, 225240.319137042, 17.2749996185303, 4.0, they mighq
225240.87021375, 225240.985618792, -5.0, 4.0, they mighs
225241.053644167, 225241.135699833, -5.0, 4.0, they mighp
225241.203618042, 225241.28562275, -5.0, 4.0, they migho
225241.370311083, 225241.4689835, -5.0, 4.0, they might
225242.636983167, 225242.769015583, 0.0325002670288086, 4.0, they mighta
225242.636983167, 225242.769015583, 0.0325002670288086, 4.0, they mightb
225243.303618375, 225243.402453792, -5.0, 4.0, they might
225244.470707125, 225244.802616875, 8.19999980926514, 4.0, they might i
225244.470707125, 225244.802616875, 8.19999980926514, 4.0, they might h
225245.420515292, 225245.569363417, 1.7649998664856, 4.0, they might g
225245.63724925, 225245.735894542, -5.0, 4.0, they might f
225246.587373333, 225247.203893, 7.21000003814697, 4.0, they might fi
225248.237435167, 225249.253029125, 12.2424983978271, 4.0, they might fii
225248.237435167, 225249.253029125, 12.2424983978271, 4.0, they might fil
225249.804174333, 225249.887370458, -5.0, 4.0, they might fim
225249.970824583, 225250.054316125, -5.0, 4.0, they might fik
225250.137416792, 225250.220862917, -5.0, 4.0, they might fin
225250.820917708, 225251.021141333, 2.09500026702881, 4.0, they might fina
225250.820917708, 225251.021141333, 2.09500026702881, 4.0, they might finb
225251.487543458, 225251.570861625, -5.0, 4.0, they might fin
225251.721159167, 225251.820888458, -5.0, 4.0, they might finc
225251.887758042, 225251.98632725, -5.0, 4.0, they might find
225253.104512667, 225253.253325542, 2.17750024795532, 4.0, they might finda
225253.104512667, 225253.253325542, 2.17750024795532, 4.0, they might findb
225253.737719333, 225253.8031415, -5.0, 4.0, they might find
225254.537984125, 225255.570014083, 21.2350006103516, 4.0, they might find v
225254.537984125, 225255.570014083, 21.2350006103516, 4.0, they might find u
225256.254669167, 225256.336681292, -5.0, 4.0, they might find w
225256.404535583, 225256.504560708, -5.0, 4.0, they might find t
225256.554541417, 225256.653284167, -5.0, 4.0, they might find x
225256.721216, 225256.837920083, -5.0, 4.0, they might find s
225256.871561583, 225256.97011025, -5.0, 4.0, they might find y
225258.304696458, 225259.203570375, 13.0675010681152, 4.0, they might find yi
225258.304696458, 225259.203570375, 13.0675010681152, 4.0, they might find ym
225259.638119708, 225259.704667292, -5.0, 4.0, they might find yn
225259.788237125, 225259.870164208, -5.0, 4.0, they might find yl
225259.954914625, 225260.021441583, -5.0, 4.0, they might find yk
225260.121523958, 225260.203723417, -5.0, 4.0, they might find yo
225260.988396833, 225262.104908875, 17.1100006103516, 4.0, they might find yoq
225260.988396833, 225262.104908875, 17.1100006103516, 4.0, they might find yor
225262.721767625, 225262.804804167, -5.0, 4.0, they might find yop
225262.85500275, 225262.953740125, -5.0, 4.0, they might find yos
225263.021911708, 225263.105012542, -5.0, 4.0, they might find yoo
225263.154873792, 225263.253755208, -5.0, 4.0, they might find yot
225263.304992708, 225263.403883958, -5.0, 4.0, they might find yon
225263.455086542, 225263.555004458, -5.0, 4.0, they might find you
225264.521858042, 225265.188507833, 18.1824989318848, 4.0, they might find yous
225264.521858042, 225265.188507833, 18.1824989318848, 4.0, they might find your
225266.021906542, 225266.120527667, -5.0, 4.0, they might find youq
225266.188747417, 225266.271932875, -5.0, 4.0, they might find yout
225266.338769958, 225266.421914042, -5.0, 4.0, they might find youp
225267.171946625, 225267.337192958, 5.55999946594238, 4.0, they might find youpa
