do not walk too quickly, 0, false, 1
do not walk too quickly, 94, false, 1
211387.18547975, 211387.485774, 4.40499973297119, 4.0
211388.252125167, 211388.334178917, -5.0, 4.0
211388.452467458, 211388.517547792, -5.0, 4.0
211388.635719042, 211388.700862917, -5.0, 4.0
211389.602261958, 211390.385533708, 13.3975009918213, 4.0
211391.052255625, 211391.13432625, -5.0, 4.0
211391.235665833, 211391.285677833, -5.0, 4.0
211391.385546292, 211391.451041875, -5.0, 4.0
211391.569021458, 211391.651040583, -5.0, 4.0
211392.219118208, 211392.352228833, 1.02250003814697, 4.0
211392.785659208, 211392.8678035, -5.0, 4.0
211392.95249625, 211393.019160875, -5.0, 4.0
211394.402567833, 211395.551412708, 11.0050010681152, 4.0
211397.019339625, 211397.085837917, 100.0, 1.0
211397.58603, 211398.2527, 14.1399993896484, 4.0
211398.686190167, 211398.768066292, -5.0, 4.0
211399.619614833, 211400.185122458, 16.1199989318848, 4.0
211400.802902417, 211400.886265, -5.0, 4.0
211400.952886458, 211401.034967208, -5.0, 4.0
211401.586469458, 211402.65298, 20.0799999237061, 4.0
211403.136414417, 211403.218353792, -5.0, 4.0
211404.253267333, 211404.419785625, 3.57999992370605, 4.0
211404.93646975, 211405.003207458, -5.0, 4.0
211405.086604208, 211405.15197175, -5.0, 4.0
211406.536974208, 211407.251814667, 27.5050010681152, 4.0
211408.153390958, 211408.218874917, -5.0, 4.0
211408.303509917, 211408.385541042, -5.0, 4.0
211408.453419417, 211408.535472625, -5.0, 4.0
211408.620186125, 211408.685677208, -5.0, 4.0
211409.587001917, 211409.67022575, -0.627500057220459, 4.0
211410.770279, 211410.886727667, 100.0, 1.0
211411.403658583, 211411.587170542, 100.0, 1.0
211411.403658583, 211411.83571325, -5.0, 4.0
211412.387032583, 211413.102494625, 22.3899993896484, 4.0
211414.087360125, 211414.252508875, 0.0325002670288086, 4.0
211415.487265333, 211415.952467042, 12.0774993896484, 4.0
211416.903872458, 211416.986117875, -5.0, 4.0
211417.704090667, 211418.187550583, 8.36499977111816, 4.0
211419.68750425, 211419.787417333, 100.0, 1.0
211419.602788208, 211419.969681875, -5.0, 4.0
211420.270935958, 211420.671069375, 9.02500057220459, 4.0
211421.321014583, 211421.386407958, -5.0, 4.0
211421.471170542, 211421.537735833, -5.0, 4.0
211421.6043525, 211421.686446667, -5.0, 4.0
211421.890023042, 211421.919459083, -5.0, 4.0
211422.587802875, 211422.670822583, 100.0, 1.0
211422.537708583, 211423.003190917, -5.0, 4.0
211423.487621875, 211424.087857125, 8.36499977111816, 4.0
211424.7045135, 211424.771073833, -5.0, 4.0
211425.421232625, 211425.621105875, 100.0, 1.0
211425.337951958, 211425.920007958, -5.0, 4.0
211426.237826625, 211426.386739917, -5.0, 4.0
211426.754527875, 211428.020149875, 11.0050010681152, 4.0
211428.621310125, 211428.70355075, -5.0, 4.0
211429.87157975, 211429.986893375, 0.0325002670288086, 4.0
211430.454798792, 211430.520226708, -5.0, 4.0
211430.621466083, 211430.670228, -5.0, 4.0
211432.005075958, 211432.737138708, 21.8125, 4.0
211433.457622292, 211433.503731875, -5.0, 4.0
211433.63854975, 211433.721696917, -5.0, 4.0
211433.871742667, 211433.970471, -5.0, 4.0
211434.138287958, 211434.205093208, -5.0, 4.0
211434.85519575, 211435.520844667, 16.4499988555908, 4.0
211436.205300375, 211436.270606417, -5.0, 4.0
211436.371983625, 211436.420704833, -5.0, 4.0
211436.538898708, 211436.605335125, -5.0, 4.0
211437.038702208, 211437.63738525, 13.3975009918213, 4.0
211438.205321458, 211438.304089083, -5.0, 4.0
211438.388759708, 211438.4556845, -5.0, 4.0
211438.53894325, 211438.620763167, -5.0, 4.0
211438.824616042, 211438.870772917, -5.0, 4.0
211440.172186125, 211440.35552175, 0.279999732971191, 4.0
211440.938849292, 211441.004268792, -5.0, 4.0
211441.138821167, 211441.204231875, -5.0, 4.0
211442.205652875, 211443.204479792, 15.2950000762939, 4.0
211444.039082542, 211444.122385167, -5.0, 4.0
211444.208276458, 211444.271189125, -5.0, 4.0
211444.355794417, 211444.422750917, -5.0, 4.0
211445.005807792, 211445.67146675, 19.3374996185303, 4.0
211446.272604958, 211446.354642208, -5.0, 4.0
211446.422677917, 211446.489370792, -5.0, 4.0
211446.972658375, 211447.472644542, 7.21000003814697, 4.0
211448.439384458, 211450.372582042, 4.15750026702881, 4.0
211451.039455333, 211451.104922208, -5.0, 4.0
211451.189583792, 211451.254921917, -5.0, 4.0
211451.339590042, 211451.406478625, -5.0, 4.0
211451.873020083, 211452.77285875, 12.3249988555908, 4.0
211453.439685875, 211453.538571083, -5.0, 4.0
211453.606849, 211453.690098542, -5.0, 4.0
211453.773097042, 211453.83994225, -5.0, 4.0
211454.907015833, 211455.838398667, 12.2424983978271, 4.0
211456.45660925, 211456.538601417, -5.0, 4.0
211457.406726833, 211460.872448792, 27.0925025939941, 4.0
211461.47356825, 211461.555610125, -5.0, 4.0
physics and chemistry are hard, 138, false, 2
211464.823679458, 211465.789100542, 15.0475006103516, 4.0
211466.623775625, 211468.19069075, 100.0, 1.0
211466.507233458, 211468.439514625, -5.0, 4.0
211468.807201875, 211469.339469542, 18.1000003814697, 4.0
211470.32422275, 211470.422852125, -5.0, 4.0
211470.5242165, 211470.589546708, -5.0, 4.0
211470.674406333, 211470.739519708, -5.0, 4.0
211470.990865875, 211471.072930167, -5.0, 4.0
211471.757640917, 211472.524296833, 6.13749980926514, 4.0
211473.62440225, 211473.757654625, 100.0, 1.0
211473.556422458, 211473.94101825, -5.0, 4.0
211474.274381333, 211475.241250708, 6.79749965667725, 4.0
211476.391327833, 211476.907844208, 100.0, 1.0
211476.273090625, 211477.123686958, -5.0, 4.0
211477.324503625, 211478.024647167, 8.03500080108643, 4.0
211478.65802025, 211478.740050125, -5.0, 4.0
211479.291453542, 211480.623701875, 25.2775001525879, 4.0
211481.091562667, 211481.173535083, -5.0, 4.0
211483.14028125, 211483.2084625, -5.0, 4.0
211483.341902708, 211484.741769667, 19.0900001525879, 4.0
211485.558537458, 211485.758466625, 100.0, 1.0
211485.491825542, 211486.0574195, -5.0, 4.0
211486.241790833, 211486.408376208, 100.0, 1.0
211486.241790833, 211486.724055042, -5.0, 4.0
211487.175235667, 211488.225607583, 15.0475006103516, 4.0
211489.308824542, 211491.157564292, 27.1749992370605, 4.0
211491.792442417, 211491.925558458, 100.0, 1.0
211492.592137333, 211492.925582042, 100.0, 1.0
211492.592137333, 211493.307721042, -5.0, 4.0
211493.592325375, 211494.374519917, 25.2775001525879, 4.0
211495.209219167, 211495.291084167, -5.0, 4.0
211496.859282417, 211498.808301708, 19.2550010681152, 4.0
211499.309299958, 211499.392744208, -5.0, 4.0
211499.959472208, 211500.526251292, 9.02500057220459, 4.0
211501.642919958, 211502.126414458, 3.08500003814697, 4.0
211503.225060458, 211503.27503725, -5.0, 4.0
211503.359746333, 211503.458315083, -5.0, 4.0
211503.593170125, 211503.659625917, -5.0, 4.0
211504.226578458, 211505.44270575, 16.3674983978271, 4.0
211506.243160625, 211506.324875583, -5.0, 4.0
211506.39279375, 211506.459570333, -5.0, 4.0
211506.526149917, 211506.609429833, -5.0, 4.0
211506.6929835, 211506.758342708, -5.0, 4.0
211507.126640667, 211507.191924417, -5.0, 4.0
211508.326726083, 211508.4932285, 2.50750017166138, 4.0
211508.926616583, 211508.99204025, -5.0, 4.0
211509.093445542, 211509.143431667, -5.0, 4.0
211510.243444833, 211510.292182375, -0.875, 4.0
211511.260247125, 211512.243627625, 12.2424983978271, 4.0
211513.360247458, 211513.443611708, -5.0, 4.0
211513.5628, 211513.610370792, -5.0, 4.0
211513.693612167, 211513.760440458, -5.0, 4.0
211513.893696708, 211513.975816708, -5.0, 4.0
211515.010476, 211515.776946875, 3.25, 4.0
211516.393777125, 211516.492258292, -5.0, 4.0
211516.576877792, 211516.642272917, -5.0, 4.0
211516.776876917, 211516.825576792, -5.0, 4.0
211517.043841458, 211517.125876917, -5.0, 4.0
211518.560747, 211518.709479667, -0.792500019073486, 4.0
211519.327004458, 211519.392356958, -5.0, 4.0
211519.510386708, 211519.575766333, -5.0, 4.0
211520.894176708, 211521.160840042, 3.49749946594238, 4.0
211521.927636542, 211522.00969825, -5.0, 4.0
211522.611048792, 211523.694339917, 5.72499942779541, 4.0
211525.261110583, 211525.344229917, 100.0, 1.0
211525.209770875, 211525.576460917, -5.0, 4.0
211525.961163167, 211526.877650458, 8.19999980926514, 4.0
211527.411132083, 211527.4945275, -5.0, 4.0
211528.394752417, 211529.043612083, 6.22000026702881, 4.0
211530.076660542, 211530.159796167, -5.0, 4.0
211530.227966125, 211530.310118, -5.0, 4.0
211530.411692292, 211530.510069958, -5.0, 4.0
211530.661252625, 211530.743538417, -5.0, 4.0
211531.244802958, 211531.843372083, 13.3975009918213, 4.0
211532.327945833, 211532.393264792, -5.0, 4.0
211533.361641042, 211533.945022125, 11.3350009918213, 4.0
211534.46173, 211534.543692417, -5.0, 4.0
211534.978110875, 211535.07679675, -5.0, 4.0
211535.177999167, 211535.243431375, -5.0, 4.0
211536.310620333, 211536.527303042, -5.0, 4.0
211536.845199542, 211537.110620125, -5.0, 4.0
211537.395101833, 211537.64395075, 6.13749980926514, 4.0
211539.195529917, 211539.345162167, 100.0, 1.0
211539.861980583, 211540.045493542, 100.0, 1.0
211539.861980583, 211540.31074225, -5.0, 4.0
211540.628809, 211541.328859542, 8.44750022888184, 4.0
211543.295621625, 211544.112449, 18.1824989318848, 4.0
211544.962471875, 211545.561159167, 21.0700016021729, 4.0
211546.2125565, 211546.311123333, -5.0, 4.0
211546.396232375, 211546.479154542, -5.0, 4.0
211546.612568542, 211546.694611542, -5.0, 4.0
211547.312562917, 211548.546143375, 17.1925010681152, 4.0
211549.112517667, 211549.177764625, -5.0, 4.0
211550.029638667, 211551.0112685, 24.1224994659424, 4.0
211552.696651875, 211552.845048208, 2.01250028610229, 4.0
211553.496300833, 211553.529635208, -5.0, 4.0
211553.663180917, 211553.728365167, -5.0, 4.0
211554.729718167, 211554.878407167, 2.17750024795532, 4.0
211555.713217708, 211556.678737917, 15.1300010681152, 4.0
211557.895208792, 211557.978562167, -5.0, 4.0
211558.063453167, 211558.145329042, -5.0, 4.0
211558.296599708, 211558.378611583, -5.0, 4.0
211558.54662525, 211558.628570167, -5.0, 4.0
211558.77986725, 211558.862091125, -5.0, 4.0
211559.363394333, 211559.712202292, 5.06500053405762, 4.0
211560.447021875, 211560.546833958, -5.0, 4.0
211560.630162417, 211560.712120583, -5.0, 4.0
211560.846718083, 211560.945474167, -5.0, 4.0
211561.130106167, 211561.212199083, -5.0, 4.0
211562.795542417, 211562.995617583, -5.0, 4.0
211564.813674333, 211564.8802165, 100.0, 1.0
211564.745654583, 211565.12919825, -5.0, 4.0
211565.880387167, 211566.547133625, 5.14750003814697, 4.0
211567.430531792, 211567.497082125, -5.0, 4.0
211567.614007125, 211567.680516583, -5.0, 4.0
211567.883017792, 211567.929215375, -5.0, 4.0
211568.863850208, 211569.079319458, -5.0, 4.0
211570.566600792, 211570.847357625, -5.0, 4.0
211572.413981125, 211572.597347792, 0.0325002670288086, 4.0
211573.130656, 211573.196006875, -5.0, 4.0
211573.280536875, 211573.347398375, -5.0, 4.0
211574.214399708, 211575.079543833, 5.14750003814697, 4.0
211576.464524792, 211576.880993917, 100.0, 1.0
211576.363096667, 211577.146637875, -5.0, 4.0
211577.331037375, 211577.8979525, 8.28250026702881, 4.0
211578.481164083, 211578.581225833, -5.0, 4.0
211579.298009667, 211579.4813045, -0.627500057220459, 4.0
211580.531565042, 211581.881471708, 15.0475006103516, 4.0
211582.764817167, 211582.831502625, -5.0, 4.0
211582.9315725, 211582.998172667, -5.0, 4.0
211583.0982565, 211583.163567417, -5.0, 4.0
211583.281627333, 211583.36339025, -5.0, 4.0
211583.565009875, 211583.630464458, -5.0, 4.0
211584.298375208, 211584.698180792, 3.00250053405762, 4.0
211585.647940458, 211585.747940833, -5.0, 4.0
211585.83148275, 211585.914904625, -5.0, 4.0
211585.998572167, 211586.081799042, -5.0, 4.0
211586.315049792, 211586.413823167, -5.0, 4.0
the power of denial, 84, false, 3
211589.081870167, 211590.647636125, 17.4400005340576, 4.0
211591.365329792, 211591.447437208, -5.0, 4.0
211591.532196, 211591.614202417, -5.0, 4.0
211591.665616125, 211591.747466875, -5.0, 4.0
211591.865233292, 211591.963928333, -5.0, 4.0
211592.698890042, 211593.148838542, 12.4899997711182, 4.0
211594.732352792, 211595.297608333, 27.4225006103516, 4.0
211595.865900333, 211595.948919125, 100.0, 1.0
211596.398701333, 211596.515680542, 100.0, 1.0
211597.215768542, 211598.115862, 8.03500080108643, 4.0
211598.715785292, 211598.797987458, -5.0, 4.0
211599.999306458, 211600.332697333, 6.05500030517578, 4.0
211601.182638167, 211601.264797917, -5.0, 4.0
211601.366201542, 211601.431481167, -5.0, 4.0
211601.516303958, 211601.598125042, -5.0, 4.0
211601.799466708, 211601.881684208, -5.0, 4.0
211603.132948667, 211603.366168292, 2.09500026702881, 4.0
211603.799502417, 211603.882880792, -5.0, 4.0
211603.9664765, 211604.031630208, -5.0, 4.0
211604.966503125, 211607.131972875, 16.2849998474121, 4.0
211608.133301958, 211609.166621417, 12.2424983978271, 4.0
211610.1168215, 211610.349936, 100.0, 1.0
211610.049946333, 211610.632328625, -5.0, 4.0
211610.800064, 211611.433366167, 15.0475006103516, 4.0
211612.966884542, 211613.950126667, 26.5149993896484, 4.0
211614.566938833, 211614.648924875, -5.0, 4.0
211614.750446583, 211614.81573275, -5.0, 4.0
211614.900269917, 211614.982380417, -5.0, 4.0
211615.166934125, 211615.265849583, -5.0, 4.0
211616.183625667, 211616.515773833, -5.0, 4.0
211617.60057825, 211618.217149375, 5.06500053405762, 4.0
211618.967420625, 211619.033831833, -5.0, 4.0
211619.133909375, 211619.215885375, -5.0, 4.0
211619.334048208, 211619.432552208, -5.0, 4.0
211619.600574375, 211619.699499, -5.0, 4.0
211620.217385583, 211621.900867292, 15.9549999237061, 4.0
211622.584153333, 211622.632793708, -5.0, 4.0
211622.734201333, 211622.800937708, -5.0, 4.0
211622.91773675, 211622.999571583, -5.0, 4.0
211623.967572333, 211624.167682667, 2.25999975204468, 4.0
211624.700849292, 211624.782988083, -5.0, 4.0
211624.8509685, 211624.934432083, -5.0, 4.0
211626.517811917, 211627.6846135, 17.1925010681152, 4.0
211628.417865167, 211628.484563792, -5.0, 4.0
211628.567838667, 211628.63325675, -5.0, 4.0
211628.734850292, 211628.81780525, -5.0, 4.0
211629.067780125, 211629.166545, -5.0, 4.0
211629.734774083, 211630.435026417, 5.3125, 4.0
211631.284738417, 211631.367980083, -5.0, 4.0
211631.434662917, 211631.516762083, -5.0, 4.0
211631.568061667, 211631.651595583, -5.0, 4.0
211631.718011417, 211631.800408083, -5.0, 4.0
211631.934837042, 211632.016787208, -5.0, 4.0
211633.034879083, 211633.184709708, 1.02250003814697, 4.0
211634.034941042, 211634.100238958, -5.0, 4.0
211634.185145708, 211634.267017042, -5.0, 4.0
211635.318323083, 211635.718506333, 4.32250022888184, 4.0
211636.251741375, 211637.068298833, 100.0, 1.0
211636.134911292, 211637.3505095, -5.0, 4.0
211637.568415208, 211638.318449667, 5.14750003814697, 4.0
211638.935113875, 211639.033889792, -5.0, 4.0
211639.152206542, 211639.217258625, -5.0, 4.0
211639.318504792, 211639.40056725, -5.0, 4.0
211639.618578625, 211639.717491167, -5.0, 4.0
211640.152038042, 211640.735333958, 4.23999977111816, 4.0
211641.371258708, 211641.434158042, -5.0, 4.0
211641.53540375, 211641.617464958, -5.0, 4.0
211641.685517042, 211641.767392708, -5.0, 4.0
211641.835591625, 211641.917432375, -5.0, 4.0
211642.002086208, 211642.100821125, -5.0, 4.0
211643.085549458, 211643.735611083, 14.3874988555908, 4.0
211644.652277167, 211644.885574125, 4.07499980926514, 4.0
211646.485781292, 211647.2343875, 12.4074993133545, 4.0
211647.835696125, 211647.91781, -5.0, 4.0
211650.302556083, 211650.469057667, 100.0, 1.0
211650.869177458, 211651.002615875, 100.0, 1.0
211651.502680125, 211651.6526435, 100.0, 1.0
211652.335969792, 211653.001533625, 15.3775005340576, 4.0
211653.736110625, 211653.818064458, -5.0, 4.0
211653.919618125, 211654.001577542, -5.0, 4.0
211655.069650625, 211655.81970375, 8.03500080108643, 4.0
211656.8032565, 211656.919785208, -0.792500019073486, 4.0
211657.836550958, 211658.818622792, 12.5725002288818, 4.0
211659.835240583, 211659.903332875, -5.0, 4.0
i like baroque and classical music, 130, false, 4
211661.803470292, 211662.186801667, 12.1599998474121, 4.0
211663.953556083, 211665.237056333, 3.08500003814697, 4.0
211666.02027575, 211666.103545, -5.0, 4.0
211666.186977958, 211666.252371208, -5.0, 4.0
211667.237149458, 211667.853747833, 12.5725002288818, 4.0
211668.303762, 211668.837239208, 8.11750030517578, 4.0
211670.137388458, 211670.253709583, 100.0, 1.0
211670.069185917, 211670.519150125, -5.0, 4.0
211670.637241583, 211670.770486708, 100.0, 1.0
