the location of the crime, 124, char, 2
211243.628450417, 211244.624900833, 17.3575000762939, 4.0, r
211245.076080458, 211247.526242542, 10.2624998092651, 4.0, ri
211248.543074125, 211248.626161833, 100.0, 1.0, r
211249.726475833, 211249.842894625, 100.0, 1.0, 
211250.476355583, 211251.558557333, 21.4825000762939, 4.0, v
211250.476355583, 211251.558557333, 21.4825000762939, 4.0, w
211252.293252292, 211252.37522075, -5.0, 4.0, u
211252.476685375, 211252.526599208, -5.0, 4.0, t
211253.476733667, 211254.143401792, 7.04500007629395, 4.0, ti
211253.476733667, 211254.143401792, 7.04500007629395, 4.0, tg
211254.843424042, 211254.925606417, -5.0, 4.0, t
211255.0101785, 211255.092076292, -5.0, 4.0, tf
211255.177018792, 211255.243598, -5.0, 4.0, th
211256.3435045, 211256.926850583, 4.73499965667725, 4.0, tha
211256.3435045, 211256.926850583, 4.73499965667725, 4.0, thi
211257.610184542, 211257.7088855, -5.0, 4.0, th
211257.793855458, 211257.875610667, -5.0, 4.0, thd
211257.960453417, 211258.042338333, -5.0, 4.0, the
211260.027135875, 211260.160379958, -0.544999599456787, 4.0, thea
211260.027135875, 211260.160379958, -0.544999599456787, 4.0, theb
211260.627074708, 211260.709125042, -5.0, 4.0, the
211262.76051625, 211263.360752458, 11.0874996185303, 4.0, the i
211262.76051625, 211263.360752458, 11.0874996185303, 4.0, the k
211264.543942292, 211264.625840333, -5.0, 4.0, the j
211264.710918917, 211264.792707, -5.0, 4.0, the l
211265.794247542, 211266.2096285, 19.0075016021729, 4.0, the ls
211267.727682, 211267.810861167, 100.0, 1.0, the l
211268.561075458, 211269.494379625, 12.4074993133545, 4.0, the li
211268.561075458, 211269.494379625, 12.4074993133545, 4.0, the ll
211270.16110975, 211270.259792125, -5.0, 4.0, the lm
211270.361206875, 211270.443083917, -5.0, 4.0, the lk
211270.511502667, 211270.593159042, -5.0, 4.0, the ln
211270.644314917, 211270.726446333, -5.0, 4.0, the lj
211270.777794792, 211270.877758667, -5.0, 4.0, the lo
211270.910959625, 211271.026591208, -5.0, 4.0, the lp
211271.227751208, 211271.326551542, -5.0, 4.0, the lo
211274.428123667, 211274.961352958, 3.08500003814697, 4.0, the loa
211274.428123667, 211274.961352958, 3.08500003814697, 4.0, the lob
211275.594718708, 211275.660081958, -5.0, 4.0, the lo
211275.761667292, 211275.811462583, -5.0, 4.0, the loc
211276.66149575, 211276.861566542, 0.279999732971191, 4.0, the loca
211278.278377083, 211279.510388667, 19.1725006103516, 4.0, the locat
211280.478489, 211281.26190725, 9.02500057220459, 4.0, the locati
211282.211867333, 211282.994019375, 15.2950000762939, 4.0, the locatio
211283.845308833, 211285.344172708, 12.0774993896484, 4.0, the locatioi
211283.845308833, 211285.344172708, 12.0774993896484, 4.0, the locatiol
211286.17870675, 211286.260766208, -5.0, 4.0, the locatiok
211286.32899975, 211286.410926375, -5.0, 4.0, the locatiom
211286.478927208, 211286.544240667, -5.0, 4.0, the locatioj
211286.612115, 211286.678786875, -5.0, 4.0, the location
211287.862245792, 211288.962308958, 1.59999990463257, 4.0, the locationa
211287.862245792, 211288.962308958, 1.59999990463257, 4.0, the locationb
211289.645825458, 211289.744344167, -5.0, 4.0, the location
211289.812441958, 211289.895777625, -5.0, 4.0, the locationc
211289.979203875, 211290.044452333, -5.0, 4.0, the locationd
211291.01248925, 211291.211225083, -5.0, 4.0, the locationc
211291.895689958, 211292.17788425, -5.0, 4.0, the location
211295.279436208, 211296.644850583, 12.2424983978271, 4.0, the location i
211297.946393167, 211298.429342875, 100.0, 1.0, the location
211298.946174792, 211299.47829225, 14.3049983978271, 4.0, the location i
211298.946174792, 211299.47829225, 14.3049983978271, 4.0, the location n
211300.079624542, 211300.145060958, -5.0, 4.0, the location o
211300.979738, 211301.363067208, 6.22000026702881, 4.0, the location oi
211300.979738, 211301.363067208, 6.22000026702881, 4.0, the location oa
211302.113001542, 211302.195160583, -5.0, 4.0, the location o
211302.27991275, 211302.361903208, -5.0, 4.0, the location of
211302.47991625, 211302.578464458, -5.0, 4.0, the location oe
211304.546587833, 211304.679983458, 0.197499752044678, 4.0, the location oea
211304.546587833, 211304.679983458, 0.197499752044678, 4.0, the location oeb
211305.196629583, 211305.262188417, -5.0, 4.0, the location oe
211307.446792542, 211307.613400333, 100.0, 1.0, the location o
211308.463556708, 211309.095566875, 5.06500053405762, 4.0, the location oa
211310.347148042, 211310.846927167, 100.0, 1.0, the location o
211311.33040925, 211311.71378025, 5.23000049591064, 4.0, the location oa
211311.33040925, 211311.71378025, 5.23000049591064, 4.0, the location oi
211312.413806292, 211312.513713708, -5.0, 4.0, the location o
211312.613863708, 211312.679229417, -5.0, 4.0, the location oe
211312.780945458, 211312.863909583, -5.0, 4.0, the location od
211313.047429208, 211313.129401958, -5.0, 4.0, the location of
211314.864026042, 211314.997363417, 0.197499752044678, 4.0, the location ofa
211314.864026042, 211314.997363417, 0.197499752044678, 4.0, the location ofb
211315.530772375, 211315.612749792, -5.0, 4.0, the location of
211317.230992917, 211318.030936167, 25.2775001525879, 4.0, the location of z
211318.814361, 211318.9141545, 100.0, 1.0, the location of
211319.46427925, 211320.229800542, 18.4299983978271, 4.0, the location of s
211319.46427925, 211320.229800542, 18.4299983978271, 4.0, the location of r
211321.379602583, 211321.4631365, -5.0, 4.0, the location of t
211322.414508042, 211322.796506125, 7.04500007629395, 4.0, the location of ti
211322.414508042, 211322.796506125, 7.04500007629395, 4.0, the location of tg
211323.497770083, 211323.579955417, -5.0, 4.0, the location of t
211323.681785375, 211323.748103375, -5.0, 4.0, the location of tf
211323.864904167, 211323.9478325, -5.0, 4.0, the location of th
211324.864729292, 211325.397869167, 6.38500022888184, 4.0, the location of thi
211324.864729292, 211325.397869167, 6.38500022888184, 4.0, the location of tha
211326.198007208, 211326.280029375, -5.0, 4.0, the location of th
211326.364796958, 211326.430092833, -5.0, 4.0, the location of thf
211326.515029208, 211326.596762042, -5.0, 4.0, the location of the
211328.381638, 211328.498044667, -0.875, 4.0, the location of thea
211328.381638, 211328.498044667, -0.875, 4.0, the location of theb
211329.014808417, 211329.081508042, -5.0, 4.0, the location of the
211330.931807542, 211331.131777958, 2.34249973297119, 4.0, the location of the a
211330.931807542, 211331.131777958, 2.34249973297119, 4.0, the location of the b
211331.948309667, 211332.014963875, -5.0, 4.0, the location of the
211332.115099875, 211332.182019083, -5.0, 4.0, the location of the c
211333.215382583, 211335.032136167, 15.2124996185303, 4.0, the location of the co
211333.215382583, 211335.032136167, 15.2124996185303, 4.0, the location of the cp
211336.1474235, 211336.247419042, -5.0, 4.0, the location of the cn
211336.332256875, 211336.397470167, -5.0, 4.0, the location of the cq
211336.465382583, 211336.530848083, -5.0, 4.0, the location of the cm
211336.598889042, 211336.66423925, -5.0, 4.0, the location of the cr
211337.715516833, 211338.480993875, 10.0150003433228, 4.0, the location of the cri
211339.765753542, 211340.247580292, 13.3975009918213, 4.0, the location of the crii
211340.832471542, 211341.865654875, 100.0, 1.0, the location of the cri
211342.615789208, 211343.265957583, 11.0874996185303, 4.0, the location of the crii
211342.615789208, 211343.265957583, 11.0874996185303, 4.0, the location of the crik
211343.815837583, 211343.897920417, -5.0, 4.0, the location of the crij
211343.999141083, 211344.064666833, -5.0, 4.0, the location of the cril
211344.132765, 211344.214706333, -5.0, 4.0, the location of the crim
211344.866060583, 211345.332706542, 2.01250028610229, 4.0, the location of the crima
211344.866060583, 211345.332706542, 2.01250028610229, 4.0, the location of the crimb
211346.066077333, 211346.131453708, -5.0, 4.0, the location of the crim
211346.23281025, 211346.281416333, -5.0, 4.0, the location of the crimc
211346.3497075, 211346.431512875, -5.0, 4.0, the location of the crimd
211346.499420417, 211346.564966875, -5.0, 4.0, the location of the crime
do not walk too quickly, 89, char, 1
211387.18547975, 211387.485774, 4.40499973297119, 4.0, a
211387.18547975, 211387.485774, 4.40499973297119, 4.0, i
211388.252125167, 211388.334178917, -5.0, 4.0, 
211388.452467458, 211388.517547792, -5.0, 4.0, d
211389.602261958, 211390.385533708, 13.3975009918213, 4.0, di
211389.602261958, 211390.385533708, 13.3975009918213, 4.0, dm
211391.052255625, 211391.13432625, -5.0, 4.0, dn
211391.235665833, 211391.285677833, -5.0, 4.0, dl
211391.385546292, 211391.451041875, -5.0, 4.0, do
211392.219118208, 211392.352228833, 1.02250003814697, 4.0, doa
211392.219118208, 211392.352228833, 1.02250003814697, 4.0, dob
211392.785659208, 211392.8678035, -5.0, 4.0, do
211394.402567833, 211395.551412708, 11.0050010681152, 4.0, do i
211397.019339625, 211397.085837917, 100.0, 1.0, do
211397.58603, 211398.2527, 14.1399993896484, 4.0, do i
211397.58603, 211398.2527, 14.1399993896484, 4.0, do n
211399.619614833, 211400.185122458, 16.1199989318848, 4.0, do np
211399.619614833, 211400.185122458, 16.1199989318848, 4.0, do nq
211400.802902417, 211400.886265, -5.0, 4.0, do no
211401.586469458, 211402.65298, 20.0799999237061, 4.0, do nou
211401.586469458, 211402.65298, 20.0799999237061, 4.0, do not
211404.253267333, 211404.419785625, 3.57999992370605, 4.0, do nota
211404.253267333, 211404.419785625, 3.57999992370605, 4.0, do notc
211404.93646975, 211405.003207458, -5.0, 4.0, do not
211406.536974208, 211407.251814667, 27.5050010681152, 4.0, do not z
211406.536974208, 211407.251814667, 27.5050010681152, 4.0, do not y
211408.153390958, 211408.218874917, -5.0, 4.0, do not x
