find a nearby parking spot, 124, char, 1
229431.814076125, 229432.595859625, 3.00250053405762, 4.0, a
229431.814076125, 229432.595859625, 3.00250053405762, 4.0, b
229433.330862208, 229433.412792875, -5.0, 4.0, 
229433.530879667, 229433.612731583, -5.0, 4.0, c
229433.68089075, 229433.779481417, -5.0, 4.0, d
229433.84763825, 229433.929504375, -5.0, 4.0, e
229434.04758425, 229434.113093708, -5.0, 4.0, i
229434.447465375, 229434.529463333, -5.0, 4.0, f
229435.547660958, 229436.397493708, 5.97250080108643, 4.0, fi
229437.231156458, 229438.7965735, 15.4600009918213, 4.0, fip
229437.231156458, 229438.7965735, 15.4600009918213, 4.0, fio
229439.514627833, 229439.597837333, -5.0, 4.0, fiq
229439.647842417, 229439.74653225, -5.0, 4.0, fin
229440.347991917, 229440.8313255, 4.07499980926514, 4.0, fina
229440.347991917, 229440.8313255, 4.07499980926514, 4.0, fini
229441.397978917, 229441.480125333, -5.0, 4.0, fin
229441.54824725, 229441.630134542, -5.0, 4.0, finc
229441.681559458, 229441.796768833, -5.0, 4.0, find
229442.681223917, 229442.981449917, 1.1875, 4.0, finda
229442.681223917, 229442.981449917, 1.1875, 4.0, findb
229443.514469875, 229443.61322325, -5.0, 4.0, find
229444.03136825, 229444.531578458, 2.09500026702881, 4.0, find a
229445.265206667, 229447.648586833, 1.51750040054321, 4.0, find aa
229445.265206667, 229447.648586833, 1.51750040054321, 4.0, find ab
229448.148350625, 229448.247144125, -5.0, 4.0, find a
229449.165306958, 229450.780766167, 12.3249988555908, 4.0, find a i
229449.165306958, 229450.780766167, 12.3249988555908, 4.0, find a l
229451.498705125, 229451.580649042, -5.0, 4.0, find a m
229451.665522958, 229451.747388333, -5.0, 4.0, find a k
229451.832276833, 229451.89736325, -5.0, 4.0, find a n
229452.698877583, 229453.098987, 2.17750024795532, 4.0, find a na
229452.698877583, 229453.098987, 2.17750024795532, 4.0, find a nb
229454.082275667, 229454.164211958, -5.0, 4.0, find a n
229454.232203625, 229454.314205833, -5.0, 4.0, find a nc
229454.399347375, 229454.464333792, -5.0, 4.0, find a nd
229454.798984542, 229454.864219667, -5.0, 4.0, find a ne
229455.549050625, 229455.7809405, 2.01250028610229, 4.0, find a nea
229456.899060208, 229459.24923275, 17.1100006103516, 4.0, find a neaq
229456.899060208, 229459.24923275, 17.1100006103516, 4.0, find a near
229460.599465417, 229461.399333667, 3.08500003814697, 4.0, find a neara
229460.599465417, 229461.399333667, 3.08500003814697, 4.0, find a nearb
229462.366141458, 229463.699483583, 20.3274993896484, 4.0, find a nearbu
229462.366141458, 229463.699483583, 20.3274993896484, 4.0, find a nearbt
229464.632884208, 229464.698185875, -5.0, 4.0, find a nearbv
229464.782962167, 229464.848344625, -5.0, 4.0, find a nearbs
229464.933048125, 229465.015260792, -5.0, 4.0, find a nearbw
229465.099565542, 229465.1979475, -5.0, 4.0, find a nearbr
229465.299201625, 229465.381325583, -5.0, 4.0, find a nearbx
229465.482832333, 229465.532655708, -5.0, 4.0, find a nearbq
229465.7824475, 229465.814704667, -5.0, 4.0, find a nearby
229467.066195542, 229467.566536875, 3.00250053405762, 4.0, find a nearbya
229467.066195542, 229467.566536875, 3.00250053405762, 4.0, find a nearbyb
229471.833233125, 229471.898647917, -5.0, 4.0, find a nearby
229473.433519542, 229475.232413, 15.2124996185303, 4.0, find a nearby o
229473.433519542, 229475.232413, 15.2124996185303, 4.0, find a nearby p
229477.167124667, 229477.383738833, 0.115000247955322, 4.0, find a nearby pa
229478.250442583, 229480.649452208, 17.1925010681152, 4.0, find a nearby paq
229478.250442583, 229480.649452208, 17.1925010681152, 4.0, find a nearby par
229481.617142375, 229482.216083, 13.1499996185303, 4.0, find a nearby pari
229481.617142375, 229482.216083, 13.1499996185303, 4.0, find a nearby parm
229482.834055875, 229482.916098, -5.0, 4.0, find a nearby parn
229482.984204333, 229483.049529458, -5.0, 4.0, find a nearby parl
229483.117464917, 229483.16610475, -5.0, 4.0, find a nearby paro
229483.350821583, 229483.416096542, -5.0, 4.0, find a nearby park
229484.067385417, 229484.982957625, 13.5625, 4.0, find a nearby parki
229485.851033625, 229487.917823958, 12.1599998474121, 4.0, find a nearby parkii
229485.851033625, 229487.917823958, 12.1599998474121, 4.0, find a nearby parkil
229488.567690375, 229488.651069125, -5.0, 4.0, find a nearby parkim
