beautiful paintings in the gallery, 0, false, 1
beautiful paintings in the gallery, 165, false, 1
207622.207647292, 207624.8910975, 3.91000080108643, 4.0
207625.607838083, 207626.457925917, 2.01250028610229, 4.0
207627.207845417, 207627.290008417, -5.0, 4.0
207627.358047417, 207627.441291417, -5.0, 4.0
207627.508092708, 207627.606661083, -5.0, 4.0
207627.741297042, 207627.823362583, -5.0, 4.0
207628.007801667, 207628.090137208, -5.0, 4.0
207628.641384667, 207629.091673083, 1.1875, 4.0
207629.808155125, 207629.891278208, 100.0, 1.0
207629.758016625, 207630.256980083, -5.0, 4.0
207630.408123167, 207630.558423458, 100.0, 1.0
207630.408123167, 207630.873361042, -5.0, 4.0
207631.008125667, 207631.208352917, 100.0, 1.0
207631.008125667, 207631.540125667, -5.0, 4.0
207631.674813583, 207632.56199225, 2.01250028610229, 4.0
207633.041621083, 207633.14044275, -5.0, 4.0
207633.92502725, 207634.5084185, 2.01250028610229, 4.0
207635.175053583, 207635.2405205, -5.0, 4.0
207635.341902417, 207635.391888, -5.0, 4.0
207635.475432167, 207635.541935458, -5.0, 4.0
207635.7109405, 207635.758562375, -5.0, 4.0
207635.858512417, 207635.940644042, -5.0, 4.0
207636.608558542, 207637.07525675, -1.70000004768372, 4.0
207638.458814083, 207639.457482417, 18.1000003814697, 4.0
207640.125347417, 207640.175350583, -5.0, 4.0
207640.275354375, 207640.35772275, -5.0, 4.0
207640.425455375, 207640.524125583, -5.0, 4.0
207640.575409417, 207640.6743425, -5.0, 4.0
207640.742060625, 207640.840911125, -5.0, 4.0
207641.608879292, 207642.891144083, 19.0075016021729, 4.0
207643.458919083, 207643.54226525, -5.0, 4.0
207643.992384667, 207644.792341208, 8.03500080108643, 4.0
207645.692571042, 207646.509269542, 5.06500053405762, 4.0
207647.14253875, 207647.224652042, -5.0, 4.0
207647.292410125, 207647.391298, -5.0, 4.0
207647.442645125, 207647.541280375, -5.0, 4.0
207647.609419917, 207647.708157875, -5.0, 4.0
207647.775863958, 207647.874673333, -5.0, 4.0
207647.942782375, 207648.042759333, -5.0, 4.0
207648.792688333, 207649.476004417, 19.0900001525879, 4.0
207650.126134542, 207650.176053917, -5.0, 4.0
207650.259480333, 207650.358089208, -5.0, 4.0
207650.442955542, 207650.509598083, -5.0, 4.0
207651.109541875, 207652.109563583, 10.0150003433228, 4.0
207652.742940833, 207652.826196458, -5.0, 4.0
207652.926338458, 207653.008343208, -5.0, 4.0
207653.093194, 207653.175410792, -5.0, 4.0
207653.276324542, 207653.40851625, -5.0, 4.0
207654.342955, 207654.826368458, -5.0, 4.0
207655.692901167, 207655.843080208, 100.0, 1.0
207655.642766292, 207656.1585265, -5.0, 4.0
207656.543129208, 207657.143275417, -0.957499980926514, 4.0
207657.726673417, 207657.808632875, -5.0, 4.0
207657.893298, 207657.975455708, -5.0, 4.0
207660.460040708, 207660.559960417, 100.0, 1.0
207660.42543175, 207660.892299542, -5.0, 4.0
207661.476778792, 207662.627053667, 8.03500080108643, 4.0
207663.293551333, 207663.393606083, -5.0, 4.0
207663.493572333, 207663.575753667, -5.0, 4.0
207663.643717917, 207663.742418708, -5.0, 4.0
207663.810437833, 207663.893745667, -5.0, 4.0
207663.960309167, 207664.05967925, -5.0, 4.0
207664.293625083, 207664.392367042, -5.0, 4.0
207664.543644625, 207664.627050917, -5.0, 4.0
207664.710587125, 207664.79388375, -5.0, 4.0
207664.927209583, 207665.009242292, -5.0, 4.0
207666.627252583, 207667.060526167, -0.957499980926514, 4.0
207667.893927417, 207667.976000833, -5.0, 4.0
207668.077359917, 207668.10938575, -5.0, 4.0
207668.410569375, 207668.4926535, -5.0, 4.0
207668.993907208, 207669.392711917, -5.0, 4.0
207670.760816375, 207671.760952917, 12.1599998474121, 4.0
207672.527539667, 207672.626243042, -5.0, 4.0
207672.694377333, 207672.792988958, -5.0, 4.0
207672.844331167, 207672.943036583, -5.0, 4.0
207672.99438225, 207673.093194417, -5.0, 4.0
207673.160857792, 207673.244266208, -5.0, 4.0
207673.327627833, 207673.410885208, -5.0, 4.0
207673.561075625, 207673.627578917, -5.0, 4.0
207673.960900708, 207674.044327708, -5.0, 4.0
207674.627787042, 207674.994396417, -0.957499980926514, 4.0
207675.694472417, 207676.627971208, 7.04500007629395, 4.0
207677.527910917, 207678.4114055, 11.1700000762939, 4.0
207678.928090625, 207680.094715, 19.1725006103516, 4.0
207681.111528208, 207681.628018208, 100.0, 1.0
207680.94487625, 207681.876734458, -5.0, 4.0
207681.994832125, 207682.2447625, 100.0, 1.0
207681.994832125, 207682.560279583, -5.0, 4.0
207682.67811575, 207683.861666958, 12.2424983978271, 4.0
207684.428450833, 207684.511753917, -5.0, 4.0
207684.57833325, 207684.678671792, -5.0, 4.0
207684.745173875, 207684.843824583, -5.0, 4.0
207685.011900083, 207685.127400875, -5.0, 4.0
207685.561855583, 207686.593710083, 18.0174999237061, 4.0
207687.361822417, 207687.443991917, -5.0, 4.0
207687.528615083, 207687.610666208, -5.0, 4.0
207687.695448, 207687.793948333, -5.0, 4.0
207688.361891458, 207688.995300375, 6.05500030517578, 4.0
207689.945428875, 207690.612202417, 13.3975009918213, 4.0
207692.344279167, 207692.42756775, -5.0, 4.0
207692.512335083, 207692.610915458, -5.0, 4.0
207693.462278167, 207694.062289708, 7.04500007629395, 4.0
207694.645625542, 207694.762230542, -5.0, 4.0
207696.029190958, 207696.429187792, 0.0325002670288086, 4.0
207697.129159042, 207697.21266275, -5.0, 4.0
207697.29593925, 207697.394586042, -5.0, 4.0
207698.062563375, 207698.679086208, 8.03500080108643, 4.0
207699.42933225, 207700.529391292, 11.0874996185303, 4.0
207701.146148167, 207701.261461042, -5.0, 4.0
207701.329661583, 207701.412970833, -5.0, 4.0
207701.496394708, 207701.594981958, -5.0, 4.0
207701.679471208, 207701.778263708, -5.0, 4.0
207701.846134708, 207701.944883417, -5.0, 4.0
207702.046216625, 207702.129558083, -5.0, 4.0
207703.029587125, 207703.36299725, 0.115000247955322, 4.0
207703.929611875, 207704.0284055, -5.0, 4.0
207704.11310525, 207704.211687792, -5.0, 4.0
207704.846354458, 207706.111757042, 20.0799999237061, 4.0
207706.679714958, 207706.761904625, -5.0, 4.0
207707.246566208, 207707.89658825, 9.02500057220459, 4.0
207708.379744417, 207708.479713458, -5.0, 4.0
207708.963334542, 207709.579997083, 2.17750024795532, 4.0
207710.146774667, 207710.246847083, -5.0, 4.0
207710.330060708, 207710.428746833, -5.0, 4.0
207710.497110875, 207710.595525, -5.0, 4.0
207710.663515583, 207710.763408125, -5.0, 4.0
207710.879894917, 207710.980050625, -5.0, 4.0
207711.930245083, 207712.180148083, 0.0325002670288086, 4.0
207712.646948333, 207712.728956875, -5.0, 4.0
207712.813663375, 207712.913451458, -5.0, 4.0
207713.497150375, 207714.213708458, 3.57999992370605, 4.0
207714.780539458, 207714.880331458, -5.0, 4.0
207714.963894625, 207715.047157333, -5.0, 4.0
207715.147118583, 207715.213787708, -5.0, 4.0
207715.280301708, 207715.379118333, -5.0, 4.0
207715.497361958, 207715.595989417, -5.0, 4.0
207715.680579583, 207715.779160042, -5.0, 4.0
207715.963682583, 207716.063745833, -5.0, 4.0
207716.230602583, 207716.329117583, -5.0, 4.0
207716.863836125, 207717.247164, -0.132500171661377, 4.0
207718.063893, 207718.763951917, 9.02500057220459, 4.0
207719.663967833, 207719.730601583, -5.0, 4.0
207719.830851042, 207719.912798208, -5.0, 4.0
207719.99731775, 207720.080722375, -5.0, 4.0
207720.164012958, 207720.262893292, -5.0, 4.0
207720.330723917, 207720.429642333, -5.0, 4.0
207720.547697625, 207720.630664917, -5.0, 4.0
207721.147485458, 207721.846247625, 13.0675010681152, 4.0
207722.39740375, 207722.497474458, -5.0, 4.0
207722.564218333, 207722.662787792, -5.0, 4.0
207722.7311085, 207722.829541708, -5.0, 4.0
207723.564243333, 207724.047705542, 4.07499980926514, 4.0
207724.597720542, 207724.696395625, -5.0, 4.0
207724.764599292, 207724.863041917, -5.0, 4.0
207724.914407583, 207725.01447075, -5.0, 4.0
207725.081041292, 207725.164343375, -5.0, 4.0
207725.297902833, 207725.381051708, -5.0, 4.0
207725.480926, 207725.56441625, -5.0, 4.0
207726.181153792, 207727.063352292, 17.1100006103516, 4.0
207727.6644195, 207727.763211167, -5.0, 4.0
207728.231397208, 207729.464657667, 22.2250003814697, 4.0
207729.981240333, 207730.081253667, -5.0, 4.0
207730.148120042, 207730.246779292, -5.0, 4.0
207730.314871583, 207730.413453917, -5.0, 4.0
207730.531177375, 207730.631141208, -5.0, 4.0
can we play cards tonight, 119, false, 2
207732.998773958, 207733.548288458, 0.940000057220459, 4.0
207734.648280958, 207734.713755875, -5.0, 4.0
207734.798573708, 207734.881754667, -5.0, 4.0
207734.981689208, 207735.04714525, -5.0, 4.0
207735.798391375, 207736.048393, -0.627500057220459, 4.0
207736.915115875, 207737.915180292, 13.1499996185303, 4.0
207738.831924208, 207738.915228125, -5.0, 4.0
207739.065543542, 207739.115267458, -5.0, 4.0
207740.248670958, 207740.548638083, -0.957499980926514, 4.0
207741.115310333, 207741.214092167, -5.0, 4.0
207741.298939333, 207741.380881208, -5.0, 4.0
207742.132965583, 207743.331023875, 20.1625003814697, 4.0
207743.88217725, 207743.982292833, -5.0, 4.0
207744.048852625, 207744.147532042, -5.0, 4.0
207744.215719792, 207744.314438875, -5.0, 4.0
207744.6489645, 207744.765595583, -5.0, 4.0
207745.332377875, 207745.799265917, 2.17750024795532, 4.0
207746.615660833, 207746.682322667, -5.0, 4.0
207746.799236917, 207746.897869417, -5.0, 4.0
207746.965929125, 207747.049303833, -5.0, 4.0
207747.132455708, 207747.21458125, -5.0, 4.0
207747.282475208, 207747.365803958, -5.0, 4.0
207748.865890208, 207749.232712042, 0.0325002670288086, 4.0
207750.049214958, 207750.148047417, -5.0, 4.0
207750.216190458, 207750.31463725, -5.0, 4.0
207750.399405958, 207750.448083125, -5.0, 4.0
207751.166202292, 207751.316189417, 0.115000247955322, 4.0
207752.799560375, 207753.1982215, 27.5050010681152, 4.0
207753.566329333, 207753.71601525, 100.0, 1.0
207753.499457042, 207753.999669125, -5.0, 4.0
207754.132788333, 207755.215007917, 16.0375003814697, 4.0
207755.482880875, 207755.532789292, 100.0, 1.0
207755.449501792, 207755.848483333, -5.0, 4.0
207756.016309625, 207756.166507792, 100.0, 1.0
207756.016309625, 207756.466396667, -5.0, 4.0
207756.63295625, 207758.033198583, 100.0, 1.0
207759.49977175, 207759.900000708, 2.17750024795532, 4.0
207760.483878208, 207760.565366917, -5.0, 4.0
207760.633570125, 207760.732130833, -5.0, 4.0
207761.417113292, 207763.032410375, 15.1300010681152, 4.0
207763.750184792, 207763.833468083, -5.0, 4.0
207764.250353917, 207764.850318833, 14.4699993133545, 4.0
207765.400403208, 207765.483632833, -5.0, 4.0
207765.567262875, 207765.665818792, -5.0, 4.0
207765.717262125, 207765.832480042, -5.0, 4.0
207765.883680583, 207765.982640042, -5.0, 4.0
207766.117223583, 207766.215841583, -5.0, 4.0
