do you prefer a window seat, 0, false, 1
do you prefer a window seat, 81, false, 1
295828.886161417, 295829.2012865, 2.01250028610229, 4.0
295829.802607625, 295829.884667417, -5.0, 4.0
295829.986119167, 295830.051365958, -5.0, 4.0
295830.152630875, 295830.234443042, -5.0, 4.0
295830.352792292, 295830.385989917, -5.0, 4.0
295830.819392542, 295831.684912125, 14.0574989318848, 4.0
295832.185966708, 295832.269362417, -5.0, 4.0
295833.01950875, 295833.186169375, -0.875, 4.0
295833.7863525, 295834.618345125, 14.1399993896484, 4.0
295835.419598958, 295835.502885292, -5.0, 4.0
295835.619812417, 295835.686414542, -5.0, 4.0
295835.769731667, 295835.8530995, -5.0, 4.0
295835.936208958, 295836.036321375, -5.0, 4.0
295836.136444375, 295836.2195075, -5.0, 4.0
295836.369456958, 295836.436292583, -5.0, 4.0
295836.6030845, 295836.703069542, -5.0, 4.0
295836.936363667, 295837.019652125, -5.0, 4.0
295837.153283917, 295837.235072458, -5.0, 4.0
295837.553088875, 295837.636401167, -5.0, 4.0
295837.80317025, 295837.935299542, -5.0, 4.0
295838.20302975, 295838.301846833, -5.0, 4.0
295839.186567458, 295839.269790708, -5.0, 4.0
295839.386577542, 295839.469765833, -5.0, 4.0
295839.586820417, 295839.685346417, -5.0, 4.0
295839.803242625, 295839.91853775, -5.0, 4.0
295840.019724875, 295840.118604375, -5.0, 4.0
295840.270063417, 295840.353234875, -5.0, 4.0
295840.469861417, 295840.551984167, -5.0, 4.0
295840.686818583, 295840.786738375, -5.0, 4.0
295840.937300708, 295841.036612792, -5.0, 4.0
295841.136625958, 295841.218749625, -5.0, 4.0
295841.386761542, 295841.452039875, -5.0, 4.0
295842.22011575, 295842.2700865, 100.0, 1.0
295842.803347917, 295843.802206167, 24.2875003814697, 4.0
295845.086995625, 295845.753678, 14.0574989318848, 4.0
295846.4702395, 295846.570212792, -5.0, 4.0
295846.953873042, 295847.619199083, 21.0700016021729, 4.0
295848.22034875, 295848.320366167, -5.0, 4.0
295849.287497375, 295849.435913333, 2.09500026702881, 4.0
295850.370593542, 295850.420485375, -5.0, 4.0
295851.35391175, 295851.837219833, -5.0, 4.0
295852.7041975, 295853.302983667, 16.1199989318848, 4.0
295854.354477125, 295855.469753542, 18.0174999237061, 4.0
295856.50439825, 295857.070996708, 5.14750003814697, 4.0
295857.704379458, 295857.786457917, -5.0, 4.0
295858.154557833, 295858.687853958, 8.03500080108643, 4.0
295859.587710167, 295859.686567167, -5.0, 4.0
295859.788082792, 295859.869956542, -5.0, 4.0
295859.971206583, 295860.055054292, -5.0, 4.0
295860.521196292, 295861.036751417, 5.14750003814697, 4.0
295861.604729333, 295861.671256875, -5.0, 4.0
295862.038085417, 295862.888045833, 17.0275001525879, 4.0
295863.504634917, 295863.586646667, -5.0, 4.0
295864.438180208, 295864.63837625, 1.02250003814697, 4.0
295865.655029833, 295865.855056625, 0.115000247955322, 4.0
295866.388293125, 295866.503815083, -5.0, 4.0
295867.255384333, 295868.2550095, 21.0700016021729, 4.0
295868.888529458, 295869.003908792, -5.0, 4.0
295869.105568958, 295869.18729075, -5.0, 4.0
295869.605496917, 295870.204125208, 9.19000053405762, 4.0
295871.155443, 295871.755343792, 13.1499996185303, 4.0
295872.405411917, 295872.504152833, -5.0, 4.0
295872.938763417, 295873.255537583, 4.07499980926514, 4.0
295873.872027792, 295873.987493833, -5.0, 4.0
295874.10577625, 295874.187549833, -5.0, 4.0
295874.605642042, 295875.220643625, 15.0475006103516, 4.0
295876.172372333, 295877.021287333, 23.1325016021729, 4.0
295877.772376125, 295877.88782, -5.0, 4.0
295879.705946167, 295879.855857625, 1.26999998092651, 4.0
295880.572705958, 295881.354656167, 21.0700016021729, 4.0
295881.972648042, 295882.088087417, -5.0, 4.0
295882.172629417, 295882.272655667, -5.0, 4.0
295882.355896417, 295882.471540083, -5.0, 4.0
295882.539507125, 295882.654747875, -5.0, 4.0
295882.905905667, 295883.004787375, -5.0, 4.0
295883.522787833, 295883.906086333, 5.14750003814697, 4.0
295884.422606667, 295884.521700958, -5.0, 4.0
295884.956507792, 295885.172856833, 0.197499752044678, 4.0
295885.689764583, 295885.788293042, -5.0, 4.0
295886.223296333, 295887.238541208, 20.0799999237061, 4.0
295888.00628725, 295888.106302083, -5.0, 4.0
with each step forward, 56, false, 2
295892.040138667, 295892.790060417, 23.1325016021729, 4.0
295894.088875042, 295894.156746125, -5.0, 4.0
295894.473610542, 295894.955646667, 9.27250003814697, 4.0
295895.840296958, 295896.473654625, 20.1625003814697, 4.0
295897.307006958, 295897.373673625, -5.0, 4.0
295897.773968625, 295898.374279083, 8.03500080108643, 4.0
295899.790605042, 295899.957234583, 0.0325002670288086, 4.0
295900.657347292, 295901.039318125, 6.05500030517578, 4.0
295901.640531208, 295901.707234083, -5.0, 4.0
295901.807545583, 295901.873974833, -5.0, 4.0
295902.357358542, 295902.607379875, 1.02250003814697, 4.0
295903.157258875, 295903.224042167, -5.0, 4.0
295903.657486792, 295903.97413525, 3.00250053405762, 4.0
295904.540812417, 295904.624081167, -5.0, 4.0
295904.691214792, 295904.789628542, -5.0, 4.0
295905.224183083, 295905.706207208, 6.13749980926514, 4.0
295906.340893417, 295906.439709375, -5.0, 4.0
295906.5412605, 295906.624175583, -5.0, 4.0
295906.707471417, 295906.806324667, -5.0, 4.0
295906.890983875, 295906.991000583, -5.0, 4.0
295907.091155583, 295907.189781958, -5.0, 4.0
295908.124504292, 295908.291088333, 1.02250003814697, 4.0
295908.957864292, 295909.806612292, 19.1725006103516, 4.0
295910.424452833, 295910.507819917, -5.0, 4.0
295910.808071958, 295911.440178208, 19.0900001525879, 4.0
295912.207924208, 295912.290023667, -5.0, 4.0
295912.79177175, 295913.191447083, 6.22000026702881, 4.0
295913.8747555, 295913.940187583, -5.0, 4.0
295914.025134667, 295914.123449042, -5.0, 4.0
295914.508146708, 295915.807048792, 15.2124996185303, 4.0
295916.358213458, 295916.440282708, -5.0, 4.0
295917.141690083, 295917.273853917, 1.10500001907349, 4.0
295918.041713083, 295918.425165458, 6.30249977111816, 4.0
295918.97542125, 295920.107500167, 13.0675010681152, 4.0
295920.458434917, 295920.52508425, 100.0, 1.0
295920.425160167, 295920.757217708, -5.0, 4.0
295920.908498958, 295921.008689292, 100.0, 1.0
295920.908498958, 295921.223906125, -5.0, 4.0
295921.541914292, 295922.07540425, 7.04500007629395, 4.0
295922.558572583, 295922.674053833, -5.0, 4.0
295922.758648792, 295922.842226125, -5.0, 4.0
295923.192201708, 295923.690995375, 14.2224998474121, 4.0
295924.242035583, 295924.340876125, -5.0, 4.0
295924.608836458, 295925.057639417, 19.0075016021729, 4.0
295925.65879975, 295925.724333917, -5.0, 4.0
295925.942220458, 295926.040896708, -5.0, 4.0
295926.392274917, 295927.491087583, 22.0599994659424, 4.0
295928.559060667, 295928.742429458, 1.10500001907349, 4.0
295929.309081417, 295929.407773875, -5.0, 4.0
295929.742691708, 295930.442462375, 18.5124988555908, 4.0
295931.175945625, 295931.2758035, -5.0, 4.0
295931.675986708, 295932.009274708, 3.00250053405762, 4.0
295932.509189333, 295932.592654833, -5.0, 4.0
