word,time,elapse,selection,user,id,in_sentence,mode,sentence_first,reset
v,1.883918707986595,0.599660917010624,0.0,guyizheng_1473671271,11,0,word,True,False
r,0.8833901250036433,1.1668354579887819,0.0,guyizheng_1473671271,11,0,word,True,False
u,0.5988117080123629,1.4681336249923334,0.0,guyizheng_1473671271,11,1,word,False,False
traveling,10.48405866700341,4.383640707994346,0.0,guyizheng_1473671271,11,0,word,True,False
to,2.6169211250089575,1.4672000420105178,0.0,guyizheng_1473671271,11,1,word,False,False
conferences,13.867145165975671,4.333949667023262,0.0,guyizheng_1473671271,11,2,word,False,False
is,1.5664457499806304,1.5834832499967888,0.0,guyizheng_1473671271,11,3,word,False,False
question,7.434017083025537,1.2002499169902876,0.0,guyizheng_1473671271,12,0,word,True,False
that,4.200117375003174,1.5839122500037774,0.0,guyizheng_1473671271,12,1,word,False,False
must,3.6662781669874676,1.850184665992856,0.0,guyizheng_1473671271,12,2,word,False,False
a,1.9001146250229795,1.2833464999857824,0.0,guyizheng_1473671271,12,3,word,False,False
a,0.6168799170118291,0.9166440829867497,0.0,guyizheng_1473671271,12,4,word,False,False
be,5.250382541998988,2.050227875006385,0.0,guyizheng_1473671271,12,3,word,False,False
what,4.266911250015255,1.4169485830061603,0.0,guyizheng_1473671271,13,0,word,True,False
goes,3.09986604200094,1.6504052079981193,0.0,guyizheng_1473671271,13,1,word,False,False
up,2.4999832919857,1.4510592089791317,1.4155853330157697,guyizheng_1473671271,13,2,word,False,False
must,2.833896916010417,2.266512792004505,0.0,guyizheng_1473671271,13,3,word,False,False
come,2.6836344999901485,1.766772500006482,0.0,guyizheng_1473671271,13,4,word,False,False
fish,3.6501920000009704,1.4181467079906724,2.348800583014963,guyizheng_1473671271,14,0,word,True,False
are,3.7670119590184186,1.4167544999800157,0.0,guyizheng_1473671271,14,1,word,False,False
love,3.8330062499735504,2.1334678330167662,0.0,guyizheng_1473671271,15,0,word,True,False
means,4.250247791991569,1.350071624998236,0.0,guyizheng_1473671271,15,1,word,False,False
many,3.9837176250002813,1.4504195410117973,0.0,guyizheng_1473671271,15,2,word,False,False
consequences,16.16757737498847,2.3342686670075636,0.0,guyizheng_1473671271,16,0,word,True,False
of,2.0328326250019018,1.7167147080181167,0.0,guyizheng_1473671271,16,1,word,False,False
a,0.533383457979653,1.7001988340052776,0.0,guyizheng_1473671271,16,2,word,False,False
wrong,7.417191249987809,2.3834293330146465,0.0,guyizheng_1473671271,16,3,word,False,False
what,4.383440542005701,2.733706291008275,0.0,guyizheng_1473671271,17,0,word,True,False
to,2.1832864170137327,1.7501848329848144,0.0,guyizheng_1473671271,17,1,word,False,False
do,1.5834629170130938,1.3831892499874812,0.0,guyizheng_1473671271,17,2,word,False,False
when,4.667199874995276,1.5166530830028933,0.0,guyizheng_1473671271,17,3,word,False,False
the,2.7501320840092376,1.3336063750030007,0.0,guyizheng_1473671271,17,4,word,False,False
oil,3.2833278329926543,1.5001568330044392,0.0,guyizheng_1473671271,17,5,word,False,False
runs,5.400419249985134,1.950170625001192,0.0,guyizheng_1473671271,17,6,word,False,False
its,3.7331928750209045,1.2848623329773545,4.049290916998871,guyizheng_1473671271,17,7,word,False,False
runs,3.7331928750209045,0.9000490420148708,5.400604874972487,guyizheng_1473671271,17,6,word,False,False
can,2.2334562499891035,1.399922874988988,0.0,guyizheng_1473671271,18,0,word,True,False
we,1.4669612500001676,1.1333445410127752,0.0,guyizheng_1473671271,18,1,word,False,False
play,3.4335179589979816,1.2833593749965075,0.0,guyizheng_1473671271,18,2,word,False,False
cards,4.250305041001411,1.6668614170048386,0.0,guyizheng_1473671271,18,3,word,False,False
a,1.0164531659975182,2.217518041987205,0.0,guyizheng_1473671271,19,0,word,True,False
quarter,7.350304917024914,1.5331164999806788,0.0,guyizheng_1473671271,19,1,word,False,False
of,1.3335125409939792,1.383344334026333,0.0,guyizheng_1473671271,19,2,word,False,False
a,0.34999091597273946,2.1001969590142835,0.0,guyizheng_1473671271,19,3,word,False,False
i,0.51690970902564,2.400100124999881,0.0,guyizheng_1473671271,20,0,word,True,False
can,2.2000669999979436,1.949945290980395,0.0,guyizheng_1473671271,20,1,word,False,False
still,4.1003303340112325,5.133783791010501,0.0,guyizheng_1473671271,20,2,word,False,False
feel,7.100437083980069,1.6672200000029989,1.8830452910042368,guyizheng_1473671271,20,3,word,False,False
your,6.2337378340016585,2.550256290996913,0.0,guyizheng_1473671271,20,4,word,False,False
with,4.983644082996761,2.3166732499958016,0.0,guyizheng_1473671271,21,0,word,True,False
each,3.3837239580170717,1.2002101249818224,0.0,guyizheng_1473671271,21,1,word,False,False
step,3.2666447500232607,1.516896833985811,0.0,guyizheng_1473671271,21,2,word,False,False
intended,5.800287040998228,1.7836225000210106,7.20035754199489,guyizheng_1473671271,21,3,word,False,False
step,5.800287040998228,0.9668447500152979,9.083709291997366,guyizheng_1473671271,21,2,word,False,False
prepare,6.300348499993561,1.2167873340076767,0.0,guyizheng_1473671271,22,0,word,True,False
for,2.300150166003732,1.3168491669930518,0.0,guyizheng_1473671271,22,1,word,False,False
the,3.1835132080013864,2.150273167004343,0.0,guyizheng_1473671271,22,2,word,False,False
exam,5.716983749996871,4.8172590830072295,0.0,guyizheng_1473671271,22,3,word,False,False
in,1.6998787090124097,1.6333184579852968,0.0,guyizheng_1473671271,22,4,word,False,False
rent,3.76697750002495,3.5001732499804348,0.0,guyizheng_1473671271,23,0,word,True,False
is,2.1001325419929344,2.0502059580176137,0.0,guyizheng_1473671271,23,1,word,False,False
paid,3.6668610839988105,2.4014323329902254,1.815447500004666,guyizheng_1473671271,23,2,word,False,False
at,2.283585833007237,1.2511519999825396,1.1152315000072122,guyizheng_1473671271,23,3,word,False,False
the,3.33385508399806,1.8334717499965336,0.0,guyizheng_1473671271,23,4,word,False,False
beginning,8.40064895802061,2.8333662079821806,0.0,guyizheng_1473671271,23,5,word,False,False
of,1.7501223340223078,1.8003144999966025,0.0,guyizheng_1473671271,23,6,word,False,False
the,2.43340787498164,1.56677687499905,0.0,guyizheng_1473671271,23,7,word,False,False
rain,3.700269084016327,1.384895333001623,1.4820228749886155,guyizheng_1473671271,24,0,word,True,False
rain,4.633732791990042,1.4684258329798467,1.0815594580199104,guyizheng_1473671271,24,1,word,False,False
go,1.8668935840250924,1.101301374990726,1.0987215409986675,guyizheng_1473671271,24,2,word,False,False
my,2.000066834007157,2.250191666011233,0.0,guyizheng_1473671271,25,0,word,True,False
preferred,11.500828249991173,3.5500969999993686,0.0,guyizheng_1473671271,25,1,word,False,False
treat,6.583818791987142,2.485096667020116,0.0,guyizheng_1473671271,25,2,word,False,False
is,2.0485805409844033,2.116693000018131,0.0,guyizheng_1473671271,25,3,word,False,False
the,2.3329731660196558,2.116822541982401,0.0,guyizheng_1473671271,26,0,word,True,False
chamber,7.133790542022325,1.6501019159913994,0.0,guyizheng_1473671271,26,1,word,False,False
